en,ja
defeat,敗
Hou,侯
Violence,暴
column,欄
umbrella,傘
screen,幕
ban,禁
stuffy,悶
altar,壇
Agriculture,農
In season,旬
Hou,候
pillar,柱
geese,雁
towel,巾
Resistance,耐
KK,株
Training,訓
Kanade,奏
county,郡
feather,羽
Circle,丸
damage,損
firewood,柴
poor,貧
Fan,範
logic,筋
Material,材
Chant,吟
beach,灘
Traditional,繁
predict,卜
patrol,巡
Yi,夷
Tun,屯
filling,餡
fish,漁
manure,糞
lead,鉛
convex,凸
Kun,坤
heat,暑
blunt,鈍
rod,竿
Domain,藩
piece,塊
item,項
skirts,裳
use,用
sky,天
new,新
out,出
name,名
Heart,心
between,間
cross,越
letter,信
about,約
noodle,面
move,動
East,東
Mutually,相
direction,方
Tube,管
week,周
shop,店
elegant,雅
straight,直
Strange,怪
short,短
life,命
ox,牛
official,官
ball,玉
bottle,瓶
relative,親
end,端
willing,願
ring,環
allow,準
Museum,館
state,州
Hole,洞
Smelly,臭
Shun,順
dense,密
wish,祝
idle,閑
No,嫌
simple,簡
pure,純
quality,質
snake,蛇
ruler,尺
burst,爆
Job,職
ugly,醜
technique,術
land,陸
older brother,兄
pavilion,亭
Shrink,縮
dog,犬
temple,殿
bundle,束
Description,述
honey,蜜
fry,煎
Pseudo,偽
Shun,俊
debt,債
core,芯
sand,砂
ship,艦
Inscription,銘
Guan,貫
mediocre,庸
hammer,錘
arm,腕
night,宵
shame,恥
egg,卵
boat,艇
abalone,鮑
cotton,綿
coffin,棺
cone,錐
stream,澗
Summary,綜
vertebrae,椎
free time,暇
ambition,志
lips,唇
crown,冠
corpse,屍
No,不
Bundle,把
Down,下
back,後
day,日
wait,等
Second-rate,次
Can,可
talk,話
real,真
and,並
Compare,比
Bit,位
Depend on,由
First,先
sentence,句
none,無
Character,字
Don't,別
piece,片
born,生
since,自
eight,八
white,白
Leave,離
night,夜
remember,記
Expect,期
class,課
profit,利
machine,機
house,房
Festival,節
Dream,夢
degree,度
clear,清
first time,初
granules,顆
spring,春
strange,奇
bird,鳥
bridge,橋
reason,理
even,偶
soil,土
kindness,恩
Tool,具
division,科
town,鎮
river,河
ride,騎
Food,食
Device,器
base,基
Similar,似
righteous,義
Wei,威
Temple,寺
shape,形
beside,旁
magic,魔
horn,角
still,尚
cooked,熟
Nozomi,希
Hold,操
peak,峰
Self,己
younger sister,妹
Myo,妙
Discussion,議
copy,抄
key,鍵
Wu,武
emperor,帝
only,徒
numb,麻
Urine,尿
Predicate,謂
breath,息
tide,潮
season,季
shock,震
secret,秘
suspect,疑
Stomach,胃
Jane,珍
dust,塵
Liang,梁
garden,庭
Simulation,擬
Shiba,芝
discipline,紀
instrument,儀
juice,汁
avoid,忌
stick,粘
Decision,決
Brocade,錦
nail,釘
Wei,偉
build,築
spectrum,譜
give,予
pulse,脈
tongue,舌
trillion,兆
hole,穴
cage,籠
Confucianism,儒
Crisp,酥
way,途
Ru,汝
Mang,芒
madder,茜
Ode,頌
stupid,愚
concave,凹
prostitute,妓
Outline,綱
Shuo,朔
descendants,裔
candle,燭
monkey,猿
warbler,鶯
silk,絹
plug,栓
Geng,庚
Ji,笈
spleen,脾
smelting,冶
slave girl,婢
middle,中
pieces,件
Province,省
rush,衝
Boat,船
top,頂
business,商
gun,槍
mad,狂
Victory,勝
Lift,升
Lock,鎖
port,港
mirror,鏡
wrinkle,皺
reward,賞
haze,霞
glue,膠
intestinal,腸
pocket,兜
Mausoleum,陵
monument,碑
Ting,汀
pick,鎬
pupil,瞳
oak,柏
samurai,侍
trip,絆
discretionary,酌
people,人
All,都
Year,年
quilt,被
hour,時
Small,小 ゎ
Several,幾
Home,家
case,事
two,二
child,子
live,住
beautiful,美
female,女
add,加
not yet,未
seat,座
seven,七
No,非
Low,低
word,詞
question,題
north,北
Difference,差
system,系
cloth,布
group,派
expensive,貴
antiquity,古
force,力
blue,藍
change,化
fee,費
read,念
fire,火
flow,流
magnificent,華
sound,音
Pick,取
floor,床
appoint,任
tower,塔
end,底
shelf,架
Therefore,故
thin,細
taste,味
summer,夏
example,例
shop,屋
Bubble,泡
hold,持
good,佳
source,源
string,串
carve,刻
Dan,丹
count,計
micro,微
tail,尾
well,井
wife,妻
Funding,資
prick,刺
currency,幣
mu,畝
Heal,愈
animals,匹
drive,駕
sad,悲
O,御
peach,桃
soft,柔
liquid,液
beneficial,益
rhyme,韻
chrysanthemum,菊
Wei,魏
sparse,疏
Yi,逸
inflammation,炎
International,際
Concubine,妃
rail,軌
Ura,浦
Danger,危
blind,盲
Role,役
cancer,癌
Howl,嘯
Disadvantages,弊
Depression,鬱
deaf,聾
Yin,殷
ant,蟻
hoop,箍
Iso,磯
dirt,垢
mole,痣
fence,柵
Algae,藻
Mouth,嘴
frost,霜
lane,巷
box,框
Takumi,匠
of,的
I,我
Wear,著
good,好
able,能
most,最
ask,問
Book,本
high,高
See,見
car,車
old,老
Writer,者
times,回
rice,米
Just,剛
six,六
Dry,幹
morning,早
by,受
Page,頁
West,西
kind,類
wind,風
Newspaper,報
arts,文
Keep,留
sea,海
Nine,九
achievement,功
Group,組
seal up,封
Customer,客
Word,言
cup,杯
color,色
tired,累
null,空
city,街
ball,球
Argument,論
thing,物
friend,友
install,安
First,甲
ghost,鬼
plate,板
male,公
system,制
Grass,草
for,供
lucky,吉
island,島
member,員
now,今
garden,園
Team,隊
wheel,輪
feet,足
show,秀
Fan,凡
Ran,然
work,工
Clothes,衣
Industry,業
hospital,院
song,曲
autumn,秋
tooth,牙
untie,解
dew,露
boundary,界
mix,混
With,付
Scattered,散
a little,稍
drop,滴
lake,湖
code,碼
Bureau,局
willow,柳
draft,稿
various,諸
Fat,肥
marriage,婚
Benevolence,仁
Zun,尊
pot,盆
Abstinence,戒
responsibility,責
product,積
vulgar,俗
enemy,敵
rock,岩
soul,魂
male,雄
wear,佩
cap,帽
duck,鴨
membership,籍
ink,墨
Pool,池
melon,瓜
Courage,勇
wall,壁
thorns,茨
seat,席
illusion,幻
lines,紋
prison,牢
maple,楓
membrane,膜
mark,痕
tribute,貢
generation,輩
Excitement,激
lung,肺
trace,跡
groove,槽
hack,劈
Graduate,卒
robe,袍
Step,階
servant,僕
Mu,牧
prison,獄
kiln,窯
Yes,確
throat,喉
cliff,崖
Saki,崎
Masonry,砌
bacteria,菌
Yan,妍
magnolia,茅
the ninth of the ten Heavenly Stems,壬
collar,襟
lonely,寂
knees,膝
Ya,涯
Prisoner,囚
Aoi,葵
nephew,姪
Azusa,梓
millet,粟
birch,樺
Binding,縛
oak,橡
corner,隅
gap,隙
saddle,鞍
chestnut,栗
spear,矛
pestle,杵
son-in-law,婿
Wu,蕪
for,為
forward,前
too,太
lol,笑
net,網
even,連
Complete,全
do,作
same,同
field,場
make,令
red,紅
sex,性
refer to,指
Da,達
shoot,拍
Wire,線
Original,原
village,村
pay,交
all over,遍
thousand,千
Formation,陣
hot,熱
fragrant,香
snow,雪
Pass,通
cold,冷
select,選
meat,肉
cloud,雲
star,星
knife,刀
Paper,紙
elder brother,哥
now,現
Thickness,厚
surname,姓
pain,痛
Oil,油
school,校
promise,諾
build,蓋
soldiers,兵
good,善
all,皆
Man,丁
Compilation,編
Positive,陽
Great,棒
Refined,精
sugar,糖
pink,粉
simultaneous,兼
Dictionary,典
Mongolian,蒙
Immortal,仙
cut,切
fierce,猛
eyebrow,眉
Second,乙
Bias,偏
thief,賊
End,末
zero,零
dial,撥
Wu,烏
foreign,洋
Tang,唐
reduce,減
scene,景
bone,骨
Dong,棟
skillful,巧
fist,拳
help,助
weak,弱
shoulder,肩
Zong,宗
anti-,抗
gradually,漸
interest,趣
Penalty,罰
pit,坑
bucket,桶
beach,浜
firewood,薪
copper,銅
respect,敬
pot,壺
cough,咳
spot,斑
crab,蟹
pear,梨
cabinet,櫃
Xuan,軒
guy,奴
Dry,乾
Philosophy,哲
New,紐
string,弦
rainbow,虹
paint,漆
Observation,察
filial piety,孝
hook,鉤
punishment,刑
cylinder,筒
C,丙
ticket,券
Jian,堅
Charm,媚
Leopard,豹
kidney,腎
shelf,棚
Zhen,貞
fat,脂
Pattern,柄
clump,叢
curtain,簾
wing,翅
embankment,堤
yesterday,昨
Take,岳
shoes,靴
concubine,妾
twist,絞
Xuan,宣
Confusion,惑
elbow,肘
Diamond,菱
a moment,頃
bills,札
Ka,伽
spoon,匙
frog,蛙
wall,垣
brown,褐
hoe,鋤
Meal,膳
tumor,瘤
chick,雛
jacket,襖
sheath,鞘
threshold,檻
reed,葦
superior,上
moon,月
kind,種
who,誰
just,正
OK,行
live,活
Hundred,百
carry,提
Forest,林
sick,病
ticket,票
surface,表
flat,平
List,列
shadow,影
Second,秒
tune,調
slightly,略
river,川
Jay,傑
Ai,艾
waist,腰
Fee,料
Process,程
Standard,標
Needle,針
temple,廟
spring,泉
drum,鼓
lotus,蓮
mulberry,桑
Porridge,粥
crooked,歪
home,宅
territory,境
swell,腫
Loyalty,忠
Banquet,宴
inexpensive,廉
Lan,嵐
state,申
Spicy,辛
tripod,鼎
uncle,舅
Table,卓
axis,軸
Liao,遼
scratch,撓
cedar,杉
humble,拙
apricot,杏
bald,禿
scorpion,蠍
Unloading,卸
Written,撰
plunder,掠
dormitory,寮
inferior,劣
hoof,蹄
Sophora japonica,槐
Naka,仲
cocoon,繭
screen,篩
reef,礁
urn,甕
open,張
Light,光
chapter,章
bell,鐘
loose,松
Wolf,狼
Purple,紫
thunder,雷
chest,胸
box,箱
cake,餅
account,帳
entanglement,纏
disease,症
mother-in-law,姑
mouse,鼠
grain,糧
fortunate,幸
height,丈
Hong,鴻
Weng,翁
Cassia,桂
fox,狐
Peng,蓬
long ago,昔
whip,鞭
Storage,儲
town,町
deep,淵
vomit,嘔
Tip,梢
rut,轍
city,城
# 1000,# 1000
often,常
Tolerate,忍
Swallow,燕
bud,蕾
date,棗
scales,秤
soup,羹
evil,邪
seek,謀
edict,詔
Politics,政
Got it,了
yes,是
indivual,個
and,和
also,也
land,地
again,又
many,多
have to,得
think,想
Give,給
Pass,過
Even,更
Only,只
picture,像
like,如
hand,手
but,則
this,此
road,路
speak,講
each,各
ever,曾
elephant,象
drink,喝
Law,法
Right now,即
pole,極
Song,歌
liquor,酒
powerful,強
king,王
stick,貼
like,若
layer,層
Heavy,重
Affection,情
Body,身
class,級
language,語
rain,雨
fish,魚
100 million,億
Pen,筆
husband,夫
Dun,頓
share,股
Certainly,定
Bo,博
plum,李
grid,格
what,何
set,集
Urgent,急
stone,石
Blood,血
-bar,巴
cigarette,煙
Ni,尼
Post,帖
Skin,皮
I,俺
Type,型
break,破
combine,合
green,青
stay,呆
quantity,量
Beijing,京
Wave,波
wave,浪
collar,領
remove,除
Hall,堂
leaf,葉
hurt,傷
River,江
right,右
left,左
Comment,評
Separation,隔
Saint,聖
dance,舞
Tiger,虎
daughter,娘
rich,富
repair,補
palace,宮
sheep,羊
Bo,伯
hard,硬
book,冊
Guard,守
bamboo,竹
winter,冬
field,野
fold,折
Russian,俄
fruit,果
cold,涼
Thin,薄
end,終
Search,尋
phoenix,鳳
mother,母
forest,森
ear,耳
pot,鍋
Lang,郎
Grandpa,爺
father,父
fan,扇
drama,劇
cook,煮
prosper,興
Hu,胡
valley,谷
thick,粗
owe,欠
Journey,旅
bell,鈴
wife,嫁
young,仔
guide,導
Lu,魯
incline,斜
grain,粒
Bear,熊
fart,屁
mud,泥
younger brother,弟
error,誤
good,良
side,側
no,否
should,宜
load,荷
Paint,塗
minister,臣
beans,豆
mother-in-law,婆
flag,旗
fog,霧
distance,距
Death,亡
he,彼
robbery,劫
solitary,孤
Forehead,額
Wisteria,藤
child,童
Fang,坊
milk,乳
Sincerity,誠
red,赤
eagle,鷹
sequence,序
Ancestor,祖
Tianjin,津
deer,鹿
nuclear,核
Technique,技
coal,煤
evening,夕
shore,岸
nose,鼻
butterfly,蝶
naked,裸
Peng,鵬
liver,肝
disaster,禍
crane,鶴
cavity,腔
Lu,呂
pillow,枕
domain,域
hatred,仇
bow,弓
sleeve,袖
disaster,厄
reverse,逆
wing,翼
Xiang,祥
leather,革
sail,帆
pottery,陶
grave,墓
gallery,廊
tin,錫
Ping,坪
figure,姿
stomach,腹
Measures,策
Asahi,旭
burial,葬
whistle,笛
Hermitage,庵
funeral,喪
hill,丘
walking stick,杖
rare,稀
Congratulations,賀
Art,芸
Nu,努
bud,芽
nail,爪
sparrow,雀
shield,盾
moss,苔
Paulownia,桐
temple,祠
skin,肌
Chant,詠
Wu,伍
bee,蜂
saw,鋸
Yi,邑
Nong,儂
arrow,矢
Central,央
purpose,旨
Mao,卯
calyx,萼
desert,漠
nights,泊
Kudzu,葛
blade,刃
orange,橙
rudder,舵
charcoal,炭
ax,斧
snore,鼾
thread,緒
colt,駒
hat,笠
habit,癖
Tachibana,橘
scale,鱗
Ju,鞠
Lu,廬
inkstone,硯
witch,巫
forgive,諒
Crumbs,屑
Suppression,抑
mustard,芥
kettle,釜
vine,蔓
female,雌
mosquito,蚊
soul,魄
Hangzhou,杭
edge,稜
Yu,輿
Cattail,蒲
depression,窪
Beach,渚
pus,膿
Gatha,偈
prisoner,虜
Young,稚
blame,咎
arc,弧
start,開始
Open,打開
citizens,市民
joy,愉快
Opening,開口
master,大師
couple,夫婦
replace,代替
emotion,感慨
suffering,苦難
Steamed bun,饅頭
rich,富裕
South,南部
refugee,難民
Opening,開幕
head,頭部
Vomit,嘔吐
perspective,透視
Overlooking,俯瞰
hesitate,躊躇
undisciplined,散漫
gaffe,失態
means,手段
least,最少
wrist,手腕
guard,看守
temple,神殿
fast,快速
landscape,山水
open up,開拓
bowel movements,大便
Normal School,師範
decline,衰退
for a moment,一瞬
fortress,要塞
drain,排水
all,所有
Era,年代
concept,概念
thigh,大腿
repeatedly,再三
deploy,部署
term,用語
gentleman,紳士
element,要素
suggestion,提案
guard,守護
farmer,農夫
poisonous,有毒
boss,頭目
Jinshi,進士
concentration,濃度
waist,腰部
Triumph,凱歌
Autumn Water,秋水
Friendship,友愛
thug,暴徒
Water,出水
Scorching heat,酷暑
Induction,誘導
Scattered,四散
migrant,移民
anger,憤怒
rich,富有
Intentional,有意
comfortable,自在
lion,獅子
ambiguous,曖昧
Limbs,四肢
abdomen,腹部
Dedicated,投身
South,以南
Private Matters,私事
First Grade,一品
How many,多少
Spirit,精神
nationality,民族
Apply,申請
Exceed,超過
democracy,民主
Location,所在
loss,損失
Open the door,開門
Angel,天使
explore,探索
newborn,新生
tutor,導師
sleep,睡眠
Battery,電池
Judgment,審判
surveillance,監視
childish,幼稚
dream,夢幻
Offspring,後代
interface,界面
Accompaniment,伴奏
Listing,出品
category,範疇
back,背面
Yokai,妖怪
Inspection,巡視
People's Livelihood,民生
Thought,思潮
military,軍用
Manual,手動
guard,守衛
writing on the blackboard,板書
Mountain,山地
refresh,刷新
deep sea,深海
young people,後生
winter melon,冬瓜
projection,投射
calculation,算出
clan,氏族
Waterworks,水道
department,部門
manner,態度
farmers,農民
cadre,幹部
fail,失敗
thing,物品
use,運用
One,一身
folk,民間
agriculture,農業
capital,首都
profit,利潤
corruption,腐敗
bow your head,低頭
Gaze,注視
guide,指南
and even,乃至
Technique,手法
Public Security,治安
sacred,神聖
Unique,特有
life and death,生死
Field of view,視野
frequently,頻繁
ambassador,大使
After Death,死後
keep,保守
carriage,馬車
seawater,海水
Modern times,近代
Uncomfortable,不快
assistant,助手
external,外部
opinion,見解
appointment,任命
resettlement,安置
use,用途
pleasure,快感
massacre,屠殺
stand out,出頭
Gospel,福音
address,住所
speculation,投機
reflection,反射
cure,治癒
arrogant,傲慢
verse,詩句
air force,空軍
model,模範
warrior,武士
living,在世
support,擁護
guilty,有罪
senior officials,高官
depressed,苦悶
transport,運送
Utensils,用具
Ignore,無視
float,浮動
situation,態勢
scalp,頭皮
Rich and Poor,貧富
dominate,主宰
Shortsighted,近視
contempt,蔑視
Show starts,開演
water quality,水質
escort,護送
accusation,控訴
stone tablet,石碑
Military and Civilians,軍民
generation,世代
New,新式
good fortune,造化
branch,支部
shame,羞恥
Rooftop,天台
Offer,要約
mind,心神
fried rice,炒飯
Neglect,怠慢
Mentor,恩師
strafing,掃射
private school,私塾
water conservation,節水
Mansion,公館
South Bank,南岸
friend,朋友
use,使用
gentlemen,先生
harm,傷害
repeat,重複
moment,瞬間
Heart,心頭
weekly,週刊
transparent,透明
dynamic,動態
Director,所長
Innocent,天真
open,開設
Ecology,生態
water surface,水面
printing,印刷
Summary,概括
former,前者
bathroom,浴室
Identification,識別
tram,電車
try out,試用
teacher,教員
call,召喚
Overview,概況
Predecessor,前身
Idiomatic,慣用
freshwater,淡水
facing,直面
long,悠長
penetration,浸透
Tianshui,天水
meat,肉食
ulcer,潰瘍
clothing,衣服
part,部分
perhaps,大概
difficulty,困難
speed,速度
cute,可愛
great,偉大
skin,皮膚
breakthrough,突破
anxiety,不安
spoken language,口語
Earth,大地
negotiation,談判
instruct,指示
criticism,批判
Avenue,大道
security guard,保安
posture,姿勢
acting,代理
it works,有用
sigh,感嘆
simulation,模擬
disaster,災難
peace of mind,安心
Hainan,海南
Tofu,豆腐
grace,優雅
problem,難題
overcome,克服
brigade,大隊
Part,部位
Home,自家
knock down,打倒
disuse,淘汰
pay attention to,留意
ups and downs,起伏
knight,騎士
conceited,自負
peaceful,安寧
archeology,考古
flowering,開花
lethal,致死
Wealth,富貴
bathing,沐浴
public opinion,民意
feather,羽毛
widow,寡婦
Legacy,遺留
Poetry Collection,詩集
external,外在
housewife,主婦
South China Sea,南海
Library,書庫
Imprisonment,監禁
Unique,固有
motion,議案
approximate,近似
Trojans,木馬
End,到頭
paralysis,麻痺
right wing,右翼
evacuation,避難
Words,字句
Caress,愛撫
cause of death,死因
reign,在位
History books,史書
toxin,毒素
Homicide,他殺
Now,現在
time,時間
educate,教育
main,主要
technology,技術
know,認識
Others,人家
propose,提出
life,生命
Citation,引用
invest,投資
discuss,討論
modern,現代
think,思考
special,特殊
move,感動
equipment,設備
person,人士
family,家人
Pitiful,可憐
angle,角度
public,公開
grow up,長大
destiny,命運
quality,素質
door,大門
Advantages,優勢
crime,犯罪
set up,設置
girl,少女
military,軍事
Himself,自身
mystery,神秘
Hard,辛苦
poet,詩人
vision,眼光
citizen,公民
world,人間
approve,批准
Transformation,改造
guide,引導
alley,胡同
idea,念頭
gratitude,感激
obey,遵守
celebrity,名人
Include,包含
Birthplace,出身
genius,天才
procession,遊行
quit,退出
sight,視線
Exposure,暴露
Tongue,舌頭
the world,世人
Puzzled,困惑
apparel,服飾
extend,延伸
cautious,謹慎
Tianya,天涯
cell,細胞
coat,外套
personally,親身
level,水準
track,軌道
Aesthetics,審美
mission,使命
year,年頭
conspiracy,陰謀
leading,主導
idiot,白痴
radiation,輻射
manual,手工
season,時節
Back,後退
Taking,服用
series,叢書
Inspection,視察
Trial,審理
power failure,停電
saying,名言
harmful,有害
face,面部
sea ​​surface,海面
damage,損傷
infringement,侵害
beautiful woman,佳人
Municipal,市政
dissolution,解散
drink,飲用
face,正視
pneumonia,肺炎
Name,人名
deliberation,審議
nostril,鼻孔
forests,山林
bitter,辛酸
irradiation,照射
rebel,造反
contract,契約
Later generations,後世
density,密度
preference,嗜好
Oral,口述
liabilities,負債
Description,記述
Opening a store,開店
childhood,幼年
thorough,透徹
Move Forward,邁進
Dawn,天明
human life,人命
hypnosis,催眠
Monthly,月刊
Exam Preparation,備考
concentrate,濃縮
complete,完備
New Year,新春
Notes,手記
fishermen,漁民
painstaking efforts,苦心
motto,格言
wilderness,原野
treasures,珍品
arithmetic,算術
Surrender,自首
lethargy,昏睡
connector,接頭
Soul,魂魄
preferential treatment,優待
Mountain Gate,山門
grease,油脂
mountains and fields,山野
tyrant,暴君
sponge,海綿
transcendence,超越
Snow Mountain,雪山
statement,陳述
refreshing,爽快
length,長短
Going into the water,下水
scenic spots,名勝
need,需要
Tell,告訴
teacher,老師
don't want,不要
market,市場
generally,一般
Prepare,準備
reply,回復
include,包括
Notice,注意
people,人民
design,設計
exist,存在
represent,代表
Knowledge,知識
free,自由
mean,意思
era,時代
level,水平
programme,節目
period,期間
formal,正式
publishing,出版
reason,理由
rural areas,農村
respectively,分別
stage,階段
Highest,最高
attract,吸引
Buy,購買
mechanism,機構
the way,道路
civilization,文明
investment,投入
disappear,消失
once,一旦
at home,在家
tool,工具
guide,指導
population,人口
Nanjing,南京
food,食品
juvenile,少年
respect,尊重
adult,大人
near,接近
size,大小
Stone,石頭
profound,深刻
operate,操作
Pity,遺憾
high,高度
calculate,計算
India,印度
Operation,手術
others,他人
street,街道
regret,後悔
force,部隊
couple,夫妻
protrude,突出
Expand,展開
desire,願望
joke,笑話
conflict,衝突
fund,基金
Injuried,受傷
have,具備
spouse,愛人
director,主管
doctor,大夫
street,街頭
famous,有名
trend,趨勢
supplies,用品
outside the door,門外
ceremony,儀式
bless,祝福
Total,共有
generation,一代
idea,主意
oil,石油
secretary,秘書
Important,大事
drinks,飲料
diet,飲食
west,西部
Hobby,愛好
luxury,豪華
friendly,友好
through,透過
high speed,高速
exchange,交換
transportation,運輸
late night,深夜
myth,神話
miss,思念
contestants,選手
in the middle,途中
autonomy,自主
plateau,高原
deceased,死者
hint,暗示
noble,貴族
favorable,有利
bustling,繁華
name,名義
attitude,姿態
Careful,用心
magic,魔法
damage,損害
I'd love to,是非
dead,死人
extraction,抽出
crystal,水晶
Questions,出題
Welfare,福利
soft,柔軟
contain,含有
slow,緩慢
southwest,西南
Output,輸出
Subjects,科目
experience,見識
ingenuity,工夫
depth,深度
Late,後期
noble,高貴
Digestion,消化
Father and Son,父子
litigation,訴訟
Prince,太子
Wandering,徘徊
Fengyun,風雲
mobilization,動員
Post,投稿
gaze,凝視
happy,快活
index,索引
grand,盛大
halfway,中途
Join,加盟
coastal,海岸
navy,海軍
strong,濃厚
Race,種族
reactionary,反動
field,田野
organic,有機
priest,牧師
Literacy,識字
April,四月
Home appliances,家電
Run away,出走
Opening,開業
beneficial,有益
spread,蔓延
happy,欣喜
wealthy,富豪
official,公式
Explore,探究
elegant,高雅
Dissatisfied,不服
Head,人頭
imperial court,朝廷
Chaoyang,朝陽
popular,通俗
messenger,使者
tool,道具
paragraph,段落
endure,忍耐
Churn,流失
plaintiff,原告
In and Out,進出
Bright,明媚
Working,在職
extracurricular,課外
Ming Dynasty,明朝
escape,逃走
reproduction,再生
Folklore,民俗
priest,神父
Perspective,視角
field,野外
drinking,飲酒
murder,謀殺
rational,有理
Documents,文書
Overnight,連夜
spring,春季
deepen,深化
superior,優越
display,陳列
Civil,民事
shame,恥辱
Life and death,死活
evolution,進化
promulgation,頒布
wood,木材
Young,年少
surgical,外科
screen,銀幕
eyeball,眼球
draft,草案
warrior,勇士
outdoor,室外
giants,巨頭
Not guilty,無罪
moisture,水分
Member,社員
pillar,支柱
Sima,司馬
rough,粗暴
hero,好漢
the other side,彼岸
Lane,車道
selflessness,無私
Hollow,空洞
structure,構造
spring,泉水
Investment,出資
What,所為
Birth,出世
Avatar,化身
postscript,後記
sincere,真摯
flat,平坦
Holy Land,聖地
preparation,用意
vertical,垂直
buttocks,臀部
Lost,遺失
grim Reaper,死神
River Basin,流域
Introduction,概論
sad,憂愁
agitation,鼓動
Deep sleep,熟睡
Perception,感知
Water Conservancy,水利
Bloodline,血統
subordinate,部下
Taboo,禁忌
soybeans,大豆
sentimentality,感傷
terrain,地勢
situation,事態
Perfunctory,敷衍
Chronic,慢性
jet lag,時差
Headquarters,本部
black tea,紅茶
Kaifeng,開封
exaggerate,誇大
suicide note,遺書
Junior,師弟
Liquidation,清算
discharge,排出
honeymoon,蜜月
assassination,暗殺
set fire,放火
promising,有為
dying,臨死
Self-deprecation,自嘲
pointer,指針
Frustrated,失意
creeping,蠕動
midnight,夜半
High,高額
melodious,悠揚
distort,歪曲
Meaning,寓意
sincerity,誠心
back,背部
indignation,憤慨
Austerity,緊縮
Horseshoe,馬蹄
# 2000,# 2000
Material,材質
Ancient Trail,古道
applause,拍手
Mountains and Rivers,山河
boarding,寄宿
projection,投影
Conversion,換算
concise,簡明
Resemblance,酷似
ambition,抱負
Full amount,全額
love,慈愛
dense,濃密
free,遊離
long hair,長毛
Poetry,詩文
Degeneration,退化
Carpentry,木工
The night before,前夜
travel around,周遊
nomadic,遊牧
Outfit,行頭
mourning,哀悼
Drinking tea,飲茶
service,服役
Disadvantages,劣勢
Riverside,河畔
Patriarch,祖師
spirits,鬼神
disciple,門徒
waters,水域
housework,家事
nipple,乳頭
water level,水位
Trade-offs,取捨
amber,琥珀
flat,平板
vegetables,野菜
stone pillars,石柱
attempted,未遂
Through,貫通
Commercial,商用
Civil Affairs,民政
Private,私家
Narcissus,水仙
Hypertrophy,肥大
hospitalization,入院
fool,愚弄
Manuscript,原稿
Tenjin,天神
Omission,遺漏
special envoy,特使
ally,盟友
detention,拘禁
other people,別人
teacher,教師
use,採用
merchandise,商品
Business,商業
clear,明確
Excited,激動
youth,青春
sad,傷心
whole body,全身
Spring Festival,春節
In the eyes,眼中
financial,財政
place,場所
rule,統治
position,立場
Going out,外出
original,原始
Lecture,講座
parking,停車
Citywide,全市
unemployment,失業
volunteer,志願
written,書面
subordinates,手下
Activate,開通
trend,潮流
see a doctor,看病
During his lifetime,生前
invitation,招待
sweat,汗水
poor,下手
relatives and friends,親友
village head,村長
clear water,清水
rock,岩石
the day after tomorrow,後天
Chief,首長
teaching,教書
edible,食用
Constraints,制約
Daimyo,大名
poisoning,中毒
Fixes,修正
Chief,長官
Green Mountain,青山
social contact,社交
Hard work,心血
dispatch,出動
