en,ja
indivual,個
feeling,感
station,駅
Explanation,釈
Judgement,判
rice,米
Experience,験
Appointment,挙
According to,照
Volume,巻
five,五
Around,頃
open,張
Fight,争
No,非
tell,告
Committee,委
performance,績
Compare,比
lose,失
forest,森
Pack,装
land,陸
must,必
membership,籍
Forest,林
flower,花
Break,断
soldiers,兵
quality,質
Waste,廃
class,級
Province,省
smell,聞
remove,除
prosper,興
think,想
companion,伴
friend,友
Food,食
repair,補
cast,投
beside,横
remove,消
territory,境
male,雄
Art,芸
Next day,翌
band,帯
clear,清
See,視
black,黒
ambition,志
Pawn,歩
Attack,撃
eight,八
Price,価
seat,座
At once,就
Protect,護
picture,像
thin,細
Stream,沢
Guard,守
done,済
group,派
strip,条
collar,領
Yi,伊
root,根
quantity,量
ball,球
split,割
Full,満
Ran,然
List,列
Urgent,急
push,推
elephant,象
Device,器
every,毎
Fast,速
like,若
Temple,寺
Defend,防
Rate,率
Harmful,害
white,素
night,夜
Osaka,阪
Of,之
Hall,堂
break,破
dance,舞
deep,深
mold,模
make,令
Keep,留
tail,尾
voice,声
morning,早
product,積
Disaster,難
Will,将
Tianjin,津
Momentum,勢
forever,永
rock,岩
Residence,居
Library,庫
guard,衛
send,寄
Customer,客
magazine,誌
Weaving,織
Wave,波
red,赤
and,併
head,首
what,何
source,源
Difference,差
autumn,秋
rich,富
Signs,徴
drama,劇
Grant,授
see,望
circle,円
defeat,敗
star,星
O,御
Journey,旅
Reading,読
short,短
cross,越
show,秀
horn,角
all,整
case,案
summer,夏
Virtue,徳
storehouse,蔵
Standard,標
Complex,複
fire,火
Floor,階
Walk,走
sick,病
Ken,健
beg,求
achievement,功
Chennai,奈
Low,低
Vibration,振
beat,打
Construction,築
evil,悪
pole,極
ring,環
right,右
speak,講
Violation,違
Team,隊
Yutaka,豊
Traces,跡
Extension,延
aid,援
for,替
Tree,樹
attack,攻
Far,遠
left,左
Examination,検
KK,株
Positive,陽
Write,写
fly,飛
part,段
Enclosure,囲
younger brother,弟
Publication,刊
Material,材
chapter,章
burden,負
next,隣
Pick,採
Hundred,百
warehouse,倉
overtake,超
kill,殺
I,私
fortunate,幸
habit,習
Base,拠
week,週
slope,坂
Gain,獲
sudden,突
dense,密
rough,雑
Wealth,財
beach,浜
end,端
way,途
Competition,競
order,順
return,返
Observation,察
city,街
fragrant,香
inside,里
Change,換
silver,銀
back,背
class,課
detailed,詳
child,児
scene,景
word,詞
Death,亡
stop,停
proof,証
Extract,抜
general,普
keep,養
and,並
Calculate,算
to,至
ball,玉
house,房
Work,働
plate,盤
wife,妻
shore,岸
knowledge,識
magnificent,華
talk,談
port,港
Measures,策
Effective,効
Resignation,辞
breath,息
Handling,扱
marriage,婚
Place,処
police,警
various,諸
Yao,曜
stop,休
Circle,丸
emperor,帝
treat,待
condition,況
Scattered,散
Return,戻
Boat,船
jump,躍
Trafficking,販
Congratulations,賀
only,徒
Therefore,故
Zong,宗
Refined,精
reason,訳
Absolute,絶
medical,医
expensive,貴
Description,描
Noboru,昇
Kang,康
festival,祭
Nine,九
Hiko,彦
older brother,兄
Pool,池
precious,宝
Township,郷
six,六
Legacy,遺
Fight,闘
Yu,宇
Excitement,激
group,群
because,因
spring,泉
simultaneous,兼
home,宅
cloth,布
May,許
daughter,娘
reduce,減
Sakae,栄
Cheng,承
for,為
Shao,紹
Rapids,瀬
Saint,聖
hot,熱
chaos,乱
hang,掛
width,幅
screen,幕
good,善
vice,副
visit,訪
Awakening,覚
Megumi,恵
Hiroshi,弘
Grass,草
Similar,似
Agriculture,農
Reliance,頼
pieces,枚
Sheng,盛
Blood,血
Convenience,便
plate,板
welcome,迎
Festival,節
Tool,具
Expansion,拡
Posted,掲
bird,鳥
young,幼
Take off,脱
inn,宿
Agency,庁
Xuan,宣
quiet,静
Execution,執
Deed,契
minister,臣
suitable,適
without,没
print,印
Alliance,盟
paper,紙
love,恋
house,舎
figure,姿
seven,七
bamboo,竹
tour,遊
Destruction,滅
seat,席
state,邦
Break,壊
reverse,逆
Clothes,服
Diligence,勤
Mr.,氏
close,閉
but,則
plant,植
Exploration,探
carry,携
Give,給
Hou,候
Ura,浦
bullets,弾
anti-,抗
Naka,仲
Air,航
birth,誕
pure,純
pinch,撮
fall,倒
happiness,喜
Mound,塚
avoid,避
pressure,圧
Takashi,隆
feather,羽
Man,丁
Danger,険
Emperor,皇
picture,絵
dream,夢
temperature,温
stretch,伸
old,老
back,裏
fee,費
quilt,被
occupy,占
catch,捕
only,唯
solid,固
scratch,傷
piece,片
Pen,筆
Ancestor,祖
secret,秘
Conclusion,締
Labor,労
Light,軽
Attack,襲
mix,混
also,也
Loyalty,忠
dew,露
Yutaka,裕
Danger,危
medicine,薬
practice,練
garden,庭
bell,鈴
apply,敷
younger sister,妹
Kanade,奏
wave,揮
First,甲
now that,既
purchase,買
easy,易
Remain,余
wheel,輪
lose,輸
escape,逃
tentative,仮
value,値
barrier,障
Nozomi,希
you,君
Man,漫
Pro,臨
ban,禁
Fan,範
according to,依
fold,折
Benevolence,仁
Dry,幹
wisdom,智
patrol,巡
arrow,矢
valve,弁
willing,願
Oku,奥
blow,吹
yellow,黄
Judgment,裁
Celebration,慶
save,救
Hold,操
Drive,駆
magic,魔
Bay,湾
dragon,龍
carve,刻
face,顔
sister,姉
party,党
enemy,敵
shoot,射
disaster,災
Jian,鑑
Shun,俊
bitter,苦
numb,麻
Treatment,療
Comparison,較
mutual,互
please,請
Test,測
seize,奪
trick,招
Introduction,緒
Ya,涯
shortage,荒
Ah,阿
owe,欠
deer,鹿
discuss,討
season,季
dimension,維
Repeat,繰
punishment,刑
dye,染
Clothes,衣
layer,層
cherry blossoms,桜
distance,距
edge,縁
winter,冬
bet,押
Strict,厳
no,否
Philosophy,哲
crime,罪
hug,抱
Bear,熊
Grilled,焼
burst,爆
rice,稲
huge,巨
touch,触
law,律
Sing,唱
I,我
Qi,岐
suspect,疑
lure,誘
Hidden,隠
Na,納
cedar,杉
filial piety,孝
lol,笑
Haiku,俳
liquor,酒
Review,審
strange,奇
Yori,譲
Violence,暴
Traditional,繁
Must,須
Listening,聴
elegant,雅
pair,双
amount,額
Thickness,厚
weak,弱
shallow,浅
cloud,雲
life,寿
Decoration,飾
sub,亜
Formation,陣
all,均
dark,暗
Sincerity,誠
grandchild,孫
temple,殿
# 1000,# 1000
respect,敬
Sleepy,困
Oki,沖
stationed,駐
fear,恐
Slow,遅
Ze,澤
batch,批
Tea,茶
simple,簡
Rei,礼
green,緑
reputation,誉
snow,雪
Shigeru,茂
Shine,輝
Korea,韓
Hiroshi,浩
Strange,怪
Guan,貫
beneficial,益
dragon,竜
bundle,束
Shrink,縮
Hao,豪
state,申
moat,堀
responsibility,責
meat,肉
area,圏
Europe,欧
instrument,儀
Courage,勇
rain,雨
woman,婦
tribute,貢
hair,毛
Self,己
Mu,牧
Choice,択
Buddha,仏
bills,札
arrive,到
cold,冷
Network,絡
Hiroshi,寛
fresh,鮮
twilight,暮
shelf,架
Send,遣
waived,免
color,彩
quick,快
charge,充
Pattern,柄
clear,晴
child,童
sand,砂
offender,犯
Foundation,礎
hill,丘
constitution,憲
age,齢
spirits,霊
end,底
withdraw,撤
willow,柳
return,還
Confusion,惑
poetry,詩
suck,吸
interest,趣
collapse,崩
liquid,液
pick,挑
To,致
Invasion,侵
shock,震
pour,傾
bone,骨
loss,損
Chang,昌
tread,踏
talent,才
Swamp,沼
Department,署
crown,冠
float,浮
Payment,払
seal up,封
disease,症
lake,湖
Pick,摘
force,迫
100 million,億
raise,募
Chinese,漢
wall,壁
meal,飯
salt,塩
Pavilion,閣
princess,姫
Akira,彰
goods,貨
Min,敏
Mount,摩
who,誰
double,倍
Macro,宏
logic,筋
frame,枠
purchase,購
Needle,針
Praise,賛
drink,飲
but,却
surname,姓
latitude,緯
still,尚
fish,魚
answer,答
Toru,徹
concentrated,濃
Bag,包
Right now,即
rush,衝
Bo,伯
special,殊
Space,宙
crane,鶴
error,誤
sword,剣
mail,郵
Lock,鎖
load,荷
include,括
buried,埋
Thai,泰
flag,旗
Trust,託
Litigation,訴
Training,訓
plum,梅
Lang,朗
arm,腕
melt,融
Zun,尊
tide,潮
Domain,藩
Immortal,仙
Sign,征
evening,夕
floor,床
Search,索
rope,縄
View,閲
No,嫌
turn,翻
Burning,燃
recessed,陥
take,搭
Risk,冒
Mi,弥
Oil,油
prick,刺
Saitama,埼
Wei,威
branch,枝
Skin,皮
Second,秒
Narrow,狭
Suppression,抑
Analysis,析
inflammation,炎
Extension,拓
town,鎮
wing,翼
sequence,序
draft,稿
red,紅
Gift,贈
virtuous,賢
Eye,眼
Yu,祐
Fu,伏
ghost,鬼
pear,梨
Shiba,芝
Negative,陰
That,那
ticket,票
ride,騎
Shibu,渋
Dry,干
spectrum,譜
colleagues,僚
Gu,顧
dog,犬
noon,午
cut,削
Fang,芳
ship,艦
turtle,亀
vegetable,菜
field,畑
grave,墓
session,届
consider,慮
Phi,披
Thanks,謝
auxiliary,輔
Search,捜
Soup,湯
Row,排
Zhen,貞
good,佳
anger,怒
Wataru,渉
mirror,鏡
Checkmate,詰
generation,輩
want,欲
Xiang,祥
Ming,鳴
Myo,妙
abandoned,棄
I,吾
Kei,啓
brain,脳
wish,祝
Store,舗
Reject,拒
fan,迷
Do,尽
nuclear,核
gun,銃
latent,潜
window,窓
chrysanthemum,菊
sad,悲
ox,牛
ear,穂
Feng,奉
Just,剛
Dominance,覇
burial,葬
gun,砲
Jane,珍
Then,遂
Jia,嘉
borrow,借
thief,盗
like,如
Hitoshi,斉
move,遷
stomach,腹
tax,税
lagoon,潟
Page,頁
Luo,羅
Shen,沈
Connection,繋
Thin,薄
Saki,咲
net,網
crack,裂
top,頂
Should,該
ticket,券
tight,緊
vertical,縦
jurisdiction,轄
gram,克
spy,狙
Separation,隔
hat,笠
dig,掘
hair,髪
Recommended,勧
peach,桃
Mechanical,械
vulgar,俗
side,脇
Article,篇
Past,往
look,看
Table,卓
Sai,斎
rail,軌
acid,酸
sand,沙
wall,垣
Korea,麗
micro,微
illusion,幻
calendar,暦
pain,痛
So,乃
wave,浪
Isamu,勲
Volume,冊
In season,旬
Attachment,附
Aware,顕
stagnation,滞
Dan,丹
Enjoy,享
insect,虫
Resistance,耐
tower,塔
I,僕
seek,謀
pulse,脈
Follow,随
Noisy,騒
Suburbs,郊
Take,岳
milk,乳
grip,握
peak,峰
waterfall,滝
promote,促
prison,獄
Heng,恒
Jun,淳
chestnut,栗
night,晩
Xu,徐
through,透
boast,誇
Recommended,奨
cup,杯
Worry,悩
mysterious,玄
Detective,偵
hire,雇
Examination,診
cover,覆
brush,刷
box,箱
Island,嶋
Villa,荘
wash,洗
Purple,紫
order,訂
bath,浴
Memory,憶
Encounter,遇
copper,銅
Noble,爵
Several,幾
Tolerate,忍
soft,柔
shaft,軸
Suffer from,患
again,又
Abandon,捨
add,添
frequency,頻
used,慣
Insert,挿
hole,穴
sleep,眠
beast,獣
poison,毒
ignorance,昧
Nu,努
Arrive,抵
sickle,鎌
Great,棒
Pseudo,偽
Caution,慎
Bow,拝
mad,狂
knife,刀
Fan,凡
Bright,亮
Search,尋
Mystery,謎
Outline,綱
Compilation,纂
bag,袋
Flag,幡
diameter,径
build,筑
suffered,遭
Encourage,励
Piece,駒
kindness,恩
purpose,旨
noon,昼
Look up,仰
loan,貸
This,箇
Suga,菅
eat,喫
Hole,洞
catch,逮
umbrella,傘
pillar,柱
hood,幌
firewood,柴
feed,飼
cram school,塾
Fang,坊
Yang,揚
slip,滑
nights,泊
Sho,翔
village,庄
chest,胸
grind,磨
long ago,昔
thunder,雷
Compensation,償
teeth,歯
Ambiguous,曖
Earning,稼
Tang,唐
ice,氷
Asahi,旭
Sleep,寝
shock,驚
Zai,哉
Study,勉
Yi,逸
hanging,懸
Enlightenment,悟
worship,崇
crystal,晶
forget,忘
hold,挟
Abstinence,戒
ear,耳
sweet,甘
all,皆
instant,瞬
Account,帳
fear,怖
decline,衰
Inscription,銘
cat,猫
mulberry,桑
charcoal,炭
even,偶
Hunting,狩
Rui,瑞
incline,斜
soul,魂
ploughing,耕
beans,豆
Charm,魅
Narrative,叙
storm,嵐
Nearby,傍
Dance,踊
country,國
solitary,孤
Lu,呂
slow,緩
Fu,阜
hard,硬
height,丈
control,控
lamp,灯
Paint,塗
Second,乙
Ting,廷
Agent,剤
Jian,堅
shoulder,肩
dawn,旦
Tiger,虎
light,淡
Diamond,菱
Kei,圭
cool,酷
resistance,阻
Chen,辰
cooked,熟
shake,晃
Takumi,匠
butt,尻
Dong,棟
Run,潤
go,赴
Mausoleum,陵
Clean,浄
poor,貧
strong,烈
Hold,擁
Qu,屈
monument,碑
monk,僧
Dry,乾
Lu,禄
sentence,句
Spin,旋
nest,巣
plum,李
bow,弓
cylinder,筒
fishing,漁
lotus,蓮
thread,糸
Aya,綾
fierce,猛
Shino,篠
tears,涙
Completed,竣
inferior,劣
Welfare,祉
Young,稚
Fat,肥
Nourish,滋
Kudzu,葛
thorns,茨
Fen,紛
plug,塞
Residence,邸
colonization,殖
bosom,懐
steel,鋼
Lieutenant,尉
Cassia,桂
Threat,脅
recommend,薦
I,俺
mine,鉱
Crossing,辻
slaughter,宰
samurai,侍
Paulownia,桐
oak,柏
lines,紋
Money,銭
organs,臓
Set,摂
wife,嫁
Liang,梁
Humility,謙
orchid,蘭
fight,斗
darkness,闇
Lun,倫
Dun,敦
cold,涼
Penalty,罰
Capital,畿
Cry,泣
Continent,洲
dissolve,溶
So,曽
Dirty,汚
fist,拳
Yu,悠
guy,奴
shoe,履
evil,邪
book,簿
cold,寒
Eaves,軒
intuition,勘
Summon,召
beads,珠
Sharp,鋭
Jin,晋
slow,慢
Stylish,粋
Gong,恭
Training,培
swimming,泳
Hanging,垂
Spicy,辛
measures,措
Cheng,澄
silence,黙
cigarette,煙
eagle,鷹
uncle,叔
pavilion,亭
Play,戯
soft,軟
pray,祈
clump,叢
Ash,灰
Jing,靖
Erection,勃
demon,妖
Atsushi,篤
Virtual,虚
Boat,舟
need,需
Match,揃
Su,蘇
sweep,掃
waist,腰
Shake,揺
pink,粉
Tochigi,栃
string,弦
Pre,預
harm,妨
oath,誓
Satoshi,聡
Bias,偏
Concubine,妃
arrest,拘
Cao,曹
media,媒
Kindness,慈
egg,卵
heir,嗣
Fiji,斐
Dip,浸
Carving,彫
Noh,謡
cut,斬
Wu,呉
List,陳
Zhu,朱
inch,寸
Rent,賃
disease,疾
Present,呈
Seedling,苗
fog,霧
animals,匹
rather,寧
Shun,駿
Kaoru,薫
Great,偉
should,宜
Qin,琴
Storage,貯
strong,壮
cell,胞
sacrifice,犠
Confectionery,菓
Hagi,萩
Iso,磯
Fervent,奮
rare,稀
class,班
instigate,唆
Steam,蒸
trade,貿
Abuse,虐
ditch,溝
but,但
nose,鼻
thief,賊
Qing,卿
Jay,傑
mud,泥
Practice,践
Hou,侯
Call,叫
magnetic,磁
boat,艇
unsettled,憧
symbol,符
shellfish,貝
Yuan,媛
wide,廣
Atmosphere,雰
Valley,渓
smoke,抽
Palm,掌
Sacrifice,牲
appearance,貌
say,曰
move,搬
Brocade,錦
drunk,酔
Calm,穏
Shu,庶
Club,倶
Accumulation,蓄
embankment,堤
rumor,噂
base,塁
knock,叩
sparse,疎
cut,伐
slave,隷
altar,壇
naked,裸
monkey,猿
vertebrae,椎
funeral,喪
Swelling,膨
wet,湿
allow,准
Ping,坪
decree,諭
quiet,幽
shield,盾
door,扉
Stubborn,頑
burnt,焦
fishing,釣
cage,籠
gorge,峡
tame,馴
chant,唄
bamboo grass,笹
True,眞
arc,弧
catch,捉
Corruption,腐
only,僅
dare,敢
warm,暖
temporarily,暫
skillful,巧
Joy,歓
friend,朋
Si,巳
Fatigue,乏
Sacrifice,祀
miserable,惨
debt,債
vomit,吐
Wolf,狼
Akatsuki,暁
plant,栽
bud,芽
pickup,拾
Sa,薩
Kiyoshi,潔
habit,癖
spray,噴
kettle,釜
rainbow,虹
pig,猪
remote,遥
flutter,撲
Abyss,淵
Admiration,慕
pottery,陶
yarn,紗
bell,鐘
yes,是
Cattail,蒲
pupil,瞳
digit,桁
No good,駄
skin,肌
leak,漏
Follow,循
sail,帆
sugar,糖
Pregnancy,妊
answer,應
blue,藍
art,藝
Qin,秦
Rei,玲
peel,剥
tired,累
twist,絞
Depression,郁
Curse,呪
Miss,嬢
freeze,凍
Takeshi,毅
key,鍵
Tachibana,橘
Pan,磐
At,於
fan,扇
snake,蛇
wheat,麦
rotten,朽
lie,嘘
Yu,佑
mountain pass,峠
drum,鼓
hatred,讐
Surplus,剰
kick,蹴
rank,秩
membrane,膜
nephew,甥
sorrow,哀
flood,洪
Jump,跳
back,后
Only,隻
apricot,杏
Forging,鍛
Kaji,梶
fierce,凶
Praise,讃
noise,喧
Cang,蒼
comfort,慰
corner,隅
foot of the mountain,麓
sheep,羊
avoid,忌
Simulation,擬
Joy,悦
grain,粒
Every,逢
gap,隙
lung,肺
by,逐
ridge,嶺
tired,疲
dormitory,寮
Fiber,繊
leaf,叶
hold,捧
stick,粘
fall,墜
Kun,昆
Litigation,訟
strip,條
Captive,虜
Limbs,肢
bee,蜂
bacteria,菌
liver,肝
bet,賭
regret,悔
tongue,舌
Imperial Rescript,勅
cotton,綿
Cute,萌
Crushed,砕
Pull,牽
collapse,潰
gutter,樋
pivot,枢
sparrow,雀
camphor tree,楠
Binding,縛
Affix,綴
watt,瓦
fat,脂
Give,賜
according to,据
habitat,棲
Hermitage,庵
letter,函
reed,芦
Passing away,逝
Banquet,宴
Bile,胆
sigh,嘆
Prisoner,囚
torso,胴
phoenix,鳳
poverty,窮
pot,鍋
Zen,禅
knees,膝
blade,刃
Ni,尼
Healing,癒
hollow,窪
Guo,郭
cap,帽
praise,褒
ship,舶
promise,諾
hunting,猟
building,楼
shame,恥
trillion,兆
share,股
bond,絆
build,蓋
粛,粛
livestock,畜
shell,殻
almost,殆
resemble,肖
Bundle,把
stick,貼
Aoi,葵
ever,曾
pull out,擢
Wow,嘩
broadcast,播
Hate,憎
Falcon,隼
makeup,粧
worry,憂
Qi,戚
column,欄
bottle,瓶
legitimate,嫡
drift,漂
Tun,屯
Beat,殴
pregnant,娠
Hu,胡
Mutsumi,睦
Punishment,懲
Sakai,堺
Harvesting,刈
desert,漠
eagle,鷲
mourning,悼
shelf,棚
chair,椅
Note,註
Eat,喰
shoot,拍
Liu,劉
hole,孔
whistle,笛
shoes,靴
duck,鴨
wrong,錯
Ryukyu,琉
butterfly,蝶
free time,暇
Tomi,冨
cancer,癌
mark,痕
cherry,櫻
Song Dynasty,宋
son-in-law,婿
gallery,廊
Ling,凌
ink,墨
pot,盆
valve,閥
Minoru,稔
Epidemic,疫
Li,莉
nail,爪
Back,遡
coast,濱
very,甚
study,學
ribbon,綬
whip,鞭
Bodhisattva,菩
Wu,烏
cape,岬
Garden,苑
suffer,挨
saddle,鞍
intestines,腸
拶,拶
zero,零
gentry,紳
disgrace,辱
Run,奔
Mata,俣
To,宛
suddenly,遽
Remuneration,酬
inexpensive,廉
Smelly,臭
Friendly,懇
ruler,尺
tooth,牙
cliff,崖
hatred,恨
lion,獅
pick,諏
Turn,廻
Dark circles,隈
trick,伎
Tsuki,槻
Regret,惜
Hanging,吊
Grab,掴
Heng,衡
Imitation,倣
Male,牡
grain,糧
provoke,惹
meaning,諦
dry,燥
Fuchi,渕
Liao,遼
Ten thousand,萬
sleeve,袖
wipe,抹
Summon,喚
Post,帖
Ru,瑠
yesterday,昨
currency,幣
all over,遍
frustration,挫
Tan,譚
Get,貰
stupid,愚
withered,枯
skeleton,骸
spear,矛
# 2000,# 2000
indistinct,惚
skin,膚
Hunan,湘
thick,粗
Ogi,荻
persimmon,柿
Du,杜
Urine,尿
yeast,酵
Across,跨
Ren,錬
Trace,辿
Field,畠
haze,霞
amnesty,赦
grave,墳
Chant,詠
cover,遮
slip,溜
Mine,峯
Amazing,凄
pay,賠
Luo,洛
tatami,畳
Li,黎
humble,卑
mortar,臼
General,汎
help,扶
pigeon,鳩
trap,罠
Yi,夷
descendants,裔
overflow,溢
fast,迅
-bar,巴
Wataru,亘
entanglement,纏
Taka,髙
steam,汽
gun,槍
drowning,溺
swell,腫
Mongolian,蒙
valley,穀
brown,褐
Tiao,妥
bully,欺
Rest,憩
Mou,牟
Abduction,拐
chess,棋
Awake,醒
waterfall,瀧
idiot,痴
barrel,樽
busy,忙
Brewing,醸
precipitate,淀
juice,汁
lonely,寂
piece,塊
Shu,淑
copy,抄
camellia,椿
Dun,頓
Yang,楊
cave,窟
magnolia,茅
Condensation,凝
Yi,邑
Park,朴
Cou,湊
panic,慌
seam,縫
handsome,帥
yeah,耶
draw,汲
hide,匿
hook,勾
scold,叱
Enoki,榎
Land,壌
chatter,喋
female,雌
Hire,聘
chicken,鶏
Prime Minister,丞
Wei,魏
Play,玩
surge,湧
delusion,妄
mother-in-law,婆
fort,砦
habitat,栖
post,哨
bank,畔
can,缶
eaves,庇
Tuo,陀
saki,﨑
companion,侶
Storage,儲
Bi,碧
Written,撰
furnace,炉
hungry,飢
lead,鉛
Wear,戴
silk,絹
Yin,寅
cook,煮
Yan,焉
fear,惧
you,爾
sleep,睡
Swallow,燕
bloom,綻
prosperous,旺
navy blue,紺
Elimination,汰
Kay,凱
Sakaki,榊
sulfur,硫
pilgrimage,詣
Fraud,詐
Bite,噛
pull,拉
Ji,稽
tip,尖
blind,盲
dish,皿
idle,閑
By,憑
jealous,妬
So,惣
cheat,騙
Bi,璧
Casting,鋳
Zhao,趙
feed,餌
bribe,賄
Stand,峙
reef,礁
That,其
wipe,擦
moisten,濡
full,飽
paint,漆
fast,齋
stem,茎
hatred,仇
spot,斑
Gaze,眺
blunt,鈍
Tate,舘
Instructions,嘱
Stomach,胃
Play,扮
beach,灘
Unloading,卸
Glass,璃
fetal,胎
depression,鬱
crooked,歪
Ka,伽
Wei,薇
bale,俵
Spinning,紡
Mo,莫
Ode,謳
pot,鉢
pig,豚
marriage,姻
fall,堕
pillow,枕
trace,踪
Iwao,巌
smelting,冶
Ken,肯
heat,暑
Qi,綺
Entertainment,娯
Packing,梱
mediocre,庸
Jealousy,嫉
Official,吏
Azusa,梓
evil,姦
Qiang,薔
Only,祇
Consumption,耗
anger,憤
Hiroshi,紘
prison,牢
Teng,騰
or,或
disaster,禍
firefly,蛍
martyrdom,殉
vortex,渦
relief,賑
Confucianism,儒
Lin,麟
alley,弄
dust,塵
millet,粟
stains,漬
walking stick,杖
honey,蜜
side,邊
dissection,剖
one,壱
Hajime,肇
Smell,匂
factory,廠
Weng,翁
Oak,樫
ellipse,楕
throat,喉
marrow,髄
Heng,亨
faint,昏
female,牝
taboo,諱
Hong,鴻
lazy,怠
ulcer,瘍
birch,樺
fill,填
meeting,會
altar,檀
scale,鱗
Tide,汐
jaw,顎
fox,狐
gloss,艶
Bubble,泡
sweetfish,鮎
maple,楓
Zheng,鄭
Addiction,嗜
string,串
Drink,呑
groove,槽
Harsh,苛
