en,ch
Hou,侯
Violence,暴
column,栏
umbrella,伞
screen,幕
ban,禁
stuffy,闷
altar,坛
Agriculture,农
In season,旬
Hou,候
pillar,柱
geese,雁
towel,巾
Resistance,耐
KK,株
Training,训
Kanade,奏
county,郡
feather,羽
Circle,丸
damage,损
firewood,柴
poor,贫
Fan,范
logic,筋
Material,材
Chant,吟
beach,滩
Traditional,繁
predict,卜
patrol,巡
Yi,夷
Tun,屯
filling,馅
fish,渔
manure,粪
lead,铅
convex,凸
Kun,坤
heat,暑
blunt,钝
rod,竿
Domain,藩
piece,块
item,项
skirts,裳
use,用
sky,天
new,新
out,出
name,名
Heart,心
between,间
cross,越
letter,信
about,约
noodle,面
move,动
East,东
Mutually,相
direction,方
Tube,管
week,周
shop,店
elegant,雅
straight,直
Strange,怪
short,短
life,命
ox,牛
official,官
ball,玉
bottle,瓶
relative,亲
end,端
willing,愿
ring,环
allow,准
Museum,馆
state,州
Hole,洞
Smelly,臭
Shun,顺
dense,密
wish,祝
idle,闲
No,嫌
simple,简
pure,纯
quality,质
snake,蛇
ruler,尺
burst,爆
Job,职
ugly,丑
technique,术
land,陆
older brother,兄
pavilion,亭
Shrink,缩
dog,犬
temple,殿
bundle,束
Description,述
honey,蜜
fry,煎
Pseudo,伪
Shun,俊
debt,债
core,芯
sand,砂
ship,舰
Inscription,铭
Guan,贯
mediocre,庸
hammer,锤
arm,腕
night,宵
shame,耻
egg,卵
boat,艇
abalone,鲍
cotton,绵
coffin,棺
cone,锥
stream,涧
Summary,综
vertebrae,椎
free time,暇
ambition,志
lips,唇
crown,冠
corpse,尸
No,不
Bundle,把
Down,下
back,后
day,日
wait,等
Second-rate,次
Can,可
talk,话
real,真
and,并
Compare,比
Bit,位
Depend on,由
First,先
sentence,句
none,无
Character,字
Don't,别
piece,片
born,生
since,自
eight,八
white,白
Leave,离
night,夜
remember,记
Expect,期
class,课
profit,利
machine,机
house,房
Festival,节
Dream,梦
degree,度
clear,清
first time,初
granules,颗
spring,春
strange,奇
bird,鸟
bridge,桥
reason,理
even,偶
soil,土
kindness,恩
Tool,具
division,科
town,镇
river,河
ride,骑
Food,食
Device,器
base,基
Similar,似
righteous,义
Wei,威
Temple,寺
shape,形
beside,旁
magic,魔
horn,角
still,尚
cooked,熟
Nozomi,希
Hold,操
peak,峰
Self,己
younger sister,妹
Myo,妙
Discussion,议
copy,抄
key,键
Wu,武
emperor,帝
only,徒
numb,麻
Urine,尿
Predicate,谓
breath,息
tide,潮
season,季
shock,震
secret,秘
suspect,疑
Stomach,胃
Jane,珍
dust,尘
Liang,梁
garden,庭
Simulation,拟
Shiba,芝
discipline,纪
instrument,仪
juice,汁
avoid,忌
stick,粘
Decision,决
Brocade,锦
nail,钉
Wei,伟
build,筑
spectrum,谱
give,予
pulse,脉
tongue,舌
trillion,兆
hole,穴
cage,笼
Confucianism,儒
Crisp,酥
way,途
Ru,汝
Mang,芒
madder,茜
Ode,颂
stupid,愚
concave,凹
prostitute,妓
Outline,纲
Shuo,朔
descendants,裔
candle,烛
monkey,猿
warbler,莺
silk,绢
plug,栓
Geng,庚
Ji,笈
spleen,脾
smelting,冶
slave girl,婢
middle,中
pieces,件
Province,省
rush,冲
Boat,船
top,顶
business,商
gun,枪
mad,狂
Victory,胜
Lift,升
Lock,锁
port,港
mirror,镜
wrinkle,皱
reward,赏
haze,霞
glue,胶
intestinal,肠
pocket,兜
Mausoleum,陵
monument,碑
Ting,汀
pick,镐
pupil,瞳
oak,柏
samurai,侍
trip,绊
discretionary,酌
people,人
All,都
Year,年
quilt,被
hour,时
Small,小
Several,几
Home,家
case,事
two,二
child,子
live,住
beautiful,美
female,女
add,加
not yet,未
seat,座
seven,七
No,非
Low,低
word,词
question,题
north,北
Difference,差
system,系
cloth,布
group,派
expensive,贵
antiquity,古
force,力
blue,蓝
change,化
fee,费
read,念
fire,火
flow,流
magnificent,华
sound,音
Pick,取
floor,床
appoint,任
tower,塔
end,底
shelf,架
Therefore,故
thin,细
taste,味
summer,夏
example,例
shop,屋
Bubble,泡
hold,持
good,佳
source,源
string,串
carve,刻
Dan,丹
count,计
micro,微
tail,尾
well,井
wife,妻
Funding,资
prick,刺
currency,币
mu,亩
Heal,愈
animals,匹
drive,驾
sad,悲
O,御
peach,桃
soft,柔
liquid,液
beneficial,益
rhyme,韵
chrysanthemum,菊
Wei,魏
sparse,疏
Yi,逸
inflammation,炎
International,际
Concubine,妃
rail,轨
Ura,浦
Danger,危
blind,盲
Role,役
cancer,癌
Howl,啸
Disadvantages,弊
Depression,郁
deaf,聋
Yin,殷
ant,蚁
hoop,箍
Iso,矶
dirt,垢
mole,痣
fence,栅
Algae,藻
Mouth,嘴
frost,霜
lane,巷
box,框
Takumi,匠
of,的
I,我
Wear,着
good,好
able,能
most,最
ask,问
Book,本
high,高
See,见
car,车
old,老
Writer,者
times,回
rice,米
Just,刚
six,六
Dry,干
morning,早
by,受
Page,页
West,西
kind,类
wind,风
Newspaper,报
arts,文
Keep,留
sea,海
Nine,九
achievement,功
Group,组
seal up,封
Customer,客
Word,言
cup,杯
color,色
tired,累
null,空
city,街
ball,球
Argument,论
thing,物
friend,友
install,安
First,甲
ghost,鬼
plate,板
male,公
system,制
Grass,草
for,供
lucky,吉
island,岛
member,员
now,今
garden,园
Team,队
wheel,轮
feet,足
show,秀
Fan,凡
Ran,然
work,工
Clothes,衣
Industry,业
hospital,院
song,曲
autumn,秋
tooth,牙
untie,解
dew,露
boundary,界
mix,混
With,付
Scattered,散
a little,稍
drop,滴
lake,湖
code,码
Bureau,局
willow,柳
draft,稿
various,诸
Fat,肥
marriage,婚
Benevolence,仁
Zun,尊
pot,盆
Abstinence,戒
responsibility,责
product,积
vulgar,俗
enemy,敌
rock,岩
soul,魂
male,雄
wear,佩
cap,帽
duck,鸭
membership,籍
ink,墨
Pool,池
melon,瓜
Courage,勇
wall,壁
thorns,茨
seat,席
illusion,幻
lines,纹
prison,牢
maple,枫
membrane,膜
mark,痕
tribute,贡
generation,辈
Excitement,激
lung,肺
trace,迹
groove,槽
hack,劈
Graduate,卒
robe,袍
Step,阶
servant,仆
Mu,牧
prison,狱
kiln,窑
Yes,确
throat,喉
cliff,崖
Saki,崎
Masonry,砌
bacteria,菌
Yan,妍
magnolia,茅
the ninth of the ten Heavenly Stems,壬
collar,襟
lonely,寂
knees,膝
Ya,涯
Prisoner,囚
Aoi,葵
nephew,侄
Azusa,梓
millet,粟
birch,桦
Binding,缚
oak,橡
corner,隅
gap,隙
saddle,鞍
chestnut,栗
spear,矛
pestle,杵
son-in-law,婿
Wu,芜
for,为
forward,前
too,太
lol,笑
net,网
even,连
Complete,全
do,作
same,同
field,场
make,令
red,红
sex,性
refer to,指
Da,达
shoot,拍
Wire,线
Original,原
village,村
pay,交
all over,遍
thousand,千
Formation,阵
hot,热
fragrant,香
snow,雪
Pass,通
cold,冷
select,选
meat,肉
cloud,云
star,星
knife,刀
Paper,纸
elder brother,哥
now,现
Thickness,厚
surname,姓
pain,痛
Oil,油
school,校
promise,诺
build,盖
soldiers,兵
good,善
all,皆
Man,丁
Compilation,编
Positive,阳
Great,棒
Refined,精
sugar,糖
pink,粉
simultaneous,兼
Dictionary,典
Mongolian,蒙
Immortal,仙
cut,切
fierce,猛
eyebrow,眉
Second,乙
Bias,偏
thief,贼
End,末
zero,零
dial,拨
Wu,乌
foreign,洋
Tang,唐
reduce,减
scene,景
bone,骨
Dong,栋
skillful,巧
fist,拳
help,助
weak,弱
shoulder,肩
Zong,宗
anti-,抗
gradually,渐
interest,趣
Penalty,罚
pit,坑
bucket,桶
beach,浜
firewood,薪
copper,铜
respect,敬
pot,壶
cough,咳
spot,斑
crab,蟹
pear,梨
cabinet,柜
Xuan,轩
guy,奴
Dry,乾
Philosophy,哲
New,纽
string,弦
rainbow,虹
paint,漆
Observation,察
filial piety,孝
hook,钩
punishment,刑
cylinder,筒
C,丙
ticket,券
Jian,坚
Charm,媚
Leopard,豹
kidney,肾
shelf,棚
Zhen,贞
fat,脂
Pattern,柄
clump,丛
curtain,帘
wing,翅
embankment,堤
yesterday,昨
Take,岳
shoes,靴
concubine,妾
twist,绞
Xuan,宣
Confusion,惑
elbow,肘
Diamond,菱
a moment,顷
bills,札
Ka,伽
spoon,匙
frog,蛙
wall,垣
brown,褐
hoe,锄
Meal,膳
tumor,瘤
chick,雏
jacket,袄
sheath,鞘
threshold,槛
reed,苇
superior,上
moon,月
kind,种
who,谁
just,正
OK,行
live,活
Hundred,百
carry,提
Forest,林
sick,病
ticket,票
surface,表
flat,平
List,列
shadow,影
Second,秒
tune,调
slightly,略
river,川
Jay,杰
Ai,艾
waist,腰
Fee,料
Process,程
Standard,标
Needle,针
temple,庙
spring,泉
drum,鼓
lotus,莲
mulberry,桑
Porridge,粥
crooked,歪
home,宅
territory,境
swell,肿
Loyalty,忠
Banquet,宴
inexpensive,廉
Lan,岚
state,申
Spicy,辛
tripod,鼎
uncle,舅
Table,卓
axis,轴
Liao,辽
scratch,挠
cedar,杉
humble,拙
apricot,杏
bald,秃
scorpion,蝎
Unloading,卸
Written,撰
plunder,掠
dormitory,寮
inferior,劣
hoof,蹄
Sophora japonica,槐
Naka,仲
cocoon,茧
screen,筛
reef,礁
urn,瓮
open,张
Light,光
chapter,章
bell,钟
loose,松
Wolf,狼
Purple,紫
thunder,雷
chest,胸
box,箱
cake,饼
account,帐
entanglement,缠
disease,症
mother-in-law,姑
mouse,鼠
grain,粮
fortunate,幸
height,丈
Hong,鸿
Weng,翁
Cassia,桂
fox,狐
Peng,蓬
long ago,昔
whip,鞭
Storage,储
town,町
deep,渊
vomit,呕
Tip,梢
rut,辙
city,城
# 1000,# 1000
often,常
Tolerate,忍
Swallow,燕
bud,蕾
date,枣
scales,秤
soup,羹
evil,邪
seek,谋
edict,诏
Politics,政
Got it,了
yes,是
indivual,个
and,和
also,也
land,地
again,又
many,多
have to,得
think,想
Give,给
Pass,过
Even,更
Only,只
picture,像
like,如
hand,手
but,则
this,此
road,路
speak,讲
each,各
ever,曾
elephant,象
drink,喝
Law,法
Right now,即
pole,极
Song,歌
liquor,酒
powerful,强
king,王
stick,贴
like,若
layer,层
Heavy,重
Affection,情
Body,身
class,级
language,语
rain,雨
fish,鱼
100 million,亿
Pen,笔
husband,夫
Dun,顿
share,股
Certainly,定
Bo,博
plum,李
grid,格
what,何
set,集
Urgent,急
stone,石
Blood,血
-bar,巴
cigarette,烟
Ni,尼
Post,帖
Skin,皮
I,俺
Type,型
break,破
combine,合
green,青
stay,呆
quantity,量
Beijing,京
Wave,波
wave,浪
collar,领
remove,除
Hall,堂
leaf,叶
hurt,伤
River,江
right,右
left,左
Comment,评
Separation,隔
Saint,圣
dance,舞
Tiger,虎
daughter,娘
rich,富
repair,补
palace,宫
sheep,羊
Bo,伯
hard,硬
book,册
Guard,守
bamboo,竹
winter,冬
field,野
fold,折
Russian,俄
fruit,果
cold,凉
Thin,薄
end,终
Search,寻
phoenix,凤
mother,母
forest,森
ear,耳
pot,锅
Lang,郎
Grandpa,爷
father,父
fan,扇
drama,剧
cook,煮
prosper,兴
Hu,胡
valley,谷
thick,粗
owe,欠
Journey,旅
bell,铃
wife,嫁
young,仔
guide,导
Lu,鲁
incline,斜
grain,粒
Bear,熊
fart,屁
mud,泥
younger brother,弟
error,误
good,良
side,侧
no,否
should,宜
load,荷
Paint,涂
minister,臣
beans,豆
mother-in-law,婆
flag,旗
fog,雾
distance,距
Death,亡
he,彼
robbery,劫
solitary,孤
Forehead,额
Wisteria,藤
child,童
Fang,坊
milk,乳
Sincerity,诚
red,赤
eagle,鹰
sequence,序
Ancestor,祖
Tianjin,津
deer,鹿
nuclear,核
Technique,技
coal,煤
evening,夕
shore,岸
nose,鼻
butterfly,蝶
naked,裸
Peng,鹏
liver,肝
disaster,祸
crane,鹤
cavity,腔
Lu,吕
pillow,枕
domain,域
hatred,仇
bow,弓
sleeve,袖
disaster,厄
reverse,逆
wing,翼
Xiang,祥
leather,革
sail,帆
pottery,陶
grave,墓
gallery,廊
tin,锡
Ping,坪
figure,姿
stomach,腹
Measures,策
Asahi,旭
burial,葬
whistle,笛
Hermitage,庵
funeral,丧
hill,丘
walking stick,杖
rare,稀
Congratulations,贺
Art,芸
Nu,努
bud,芽
nail,爪
sparrow,雀
shield,盾
moss,苔
Paulownia,桐
temple,祠
skin,肌
Chant,咏
Wu,伍
bee,蜂
saw,锯
Yi,邑
Nong,侬
arrow,矢
Central,央
purpose,旨
Mao,卯
calyx,萼
desert,漠
nights,泊
Kudzu,葛
blade,刃
orange,橙
rudder,舵
charcoal,炭
ax,斧
snore,鼾
thread,绪
colt,驹
hat,笠
habit,癖
Tachibana,橘
scale,鳞
Ju,鞠
Lu,庐
inkstone,砚
witch,巫
forgive,谅
Crumbs,屑
Suppression,抑
mustard,芥
kettle,釜
vine,蔓
female,雌
mosquito,蚊
soul,魄
Hangzhou,杭
edge,棱
Yu,舆
Cattail,蒲
depression,洼
Beach,渚
pus,脓
Gatha,偈
prisoner,虏
Young,稚
blame,咎
arc,弧
start,开始
Open,打开
citizens,市民
joy,愉快
Opening,开口
master,大师
couple,夫妇
replace,代替
emotion,感慨
suffering,苦难
Steamed bun,馒头
rich,富裕
South,南部
refugee,难民
Opening,开幕
head,头部
Vomit,呕吐
perspective,透视
Overlooking,俯瞰
hesitate,踌躇
undisciplined,散漫
gaffe,失态
means,手段
least,最少
wrist,手腕
guard,看守
temple,神殿
fast,快速
landscape,山水
open up,开拓
bowel movements,大便
Normal School,师范
decline,衰退
for a moment,一瞬
fortress,要塞
drain,排水
all,所有
Era,年代
concept,概念
thigh,大腿
repeatedly,再三
deploy,部署
term,用语
gentleman,绅士
element,要素
suggestion,提案
guard,守护
farmer,农夫
poisonous,有毒
boss,头目
Jinshi,进士
concentration,浓度
waist,腰部
Triumph,凯歌
Autumn Water,秋水
Friendship,友爱
thug,暴徒
Water,出水
Scorching heat,酷暑
Induction,诱导
Scattered,四散
migrant,移民
anger,愤怒
rich,富有
Intentional,有意
comfortable,自在
lion,狮子
ambiguous,暧昧
Limbs,四肢
abdomen,腹部
Dedicated,投身
South,以南
Private Matters,私事
First Grade,一品
How many,多少
Spirit,精神
nationality,民族
Apply,申请
Exceed,超过
democracy,民主
Location,所在
loss,损失
Open the door,开门
Angel,天使
explore,探索
newborn,新生
tutor,导师
sleep,睡眠
Battery,电池
Judgment,审判
surveillance,监视
childish,幼稚
dream,梦幻
Offspring,后代
interface,界面
Accompaniment,伴奏
Listing,出品
category,范畴
back,背面
Yokai,妖怪
Inspection,巡视
People's Livelihood,民生
Thought,思潮
military,军用
Manual,手动
guard,守卫
writing on the blackboard,板书
Mountain,山地
refresh,刷新
deep sea,深海
young people,后生
winter melon,冬瓜
projection,投射
calculation,算出
clan,氏族
Waterworks,水道
department,部门
manner,态度
farmers,农民
cadre,干部
fail,失败
thing,物品
use,运用
One,一身
folk,民间
agriculture,农业
capital,首都
profit,利润
corruption,腐败
bow your head,低头
Gaze,注视
guide,指南
and even,乃至
Technique,手法
Public Security,治安
sacred,神圣
Unique,特有
life and death,生死
Field of view,视野
frequently,频繁
ambassador,大使
After Death,死后
keep,保守
carriage,马车
seawater,海水
Modern times,近代
Uncomfortable,不快
assistant,助手
external,外部
opinion,见解
appointment,任命
resettlement,安置
use,用途
pleasure,快感
massacre,屠杀
stand out,出头
Gospel,福音
address,住所
speculation,投机
reflection,反射
cure,治愈
arrogant,傲慢
verse,诗句
air force,空军
model,模范
warrior,武士
living,在世
support,拥护
guilty,有罪
senior officials,高官
depressed,苦闷
transport,运送
Utensils,用具
Ignore,无视
float,浮动
situation,态势
scalp,头皮
Rich and Poor,贫富
dominate,主宰
Shortsighted,近视
contempt,蔑视
Show starts,开演
water quality,水质
escort,护送
accusation,控诉
stone tablet,石碑
Military and Civilians,军民
generation,世代
New,新式
good fortune,造化
branch,支部
shame,羞耻
Rooftop,天台
Offer,要约
mind,心神
fried rice,炒饭
Neglect,怠慢
Mentor,恩师
strafing,扫射
private school,私塾
water conservation,节水
Mansion,公馆
South Bank,南岸
friend,朋友
use,使用
gentlemen,先生
harm,伤害
repeat,重复
moment,瞬间
Heart,心头
weekly,周刊
transparent,透明
dynamic,动态
Director,所长
Innocent,天真
open,开设
Ecology,生态
water surface,水面
printing,印刷
Summary,概括
former,前者
bathroom,浴室
Identification,识别
tram,电车
try out,试用
teacher,教员
call,召唤
Overview,概况
Predecessor,前身
Idiomatic,惯用
freshwater,淡水
facing,直面
long,悠长
penetration,浸透
Tianshui,天水
meat,肉食
ulcer,溃疡
clothing,衣服
part,部分
perhaps,大概
difficulty,困难
speed,速度
cute,可爱
great,伟大
skin,皮肤
breakthrough,突破
anxiety,不安
spoken language,口语
Earth,大地
negotiation,谈判
instruct,指示
criticism,批判
Avenue,大道
security guard,保安
posture,姿势
acting,代理
it works,有用
sigh,感叹
simulation,模拟
disaster,灾难
peace of mind,安心
Hainan,海南
Tofu,豆腐
grace,优雅
problem,难题
overcome,克服
brigade,大队
Part,部位
Home,自家
knock down,打倒
disuse,淘汰
pay attention to,留意
ups and downs,起伏
knight,骑士
conceited,自负
peaceful,安宁
archeology,考古
flowering,开花
lethal,致死
Wealth,富贵
bathing,沐浴
public opinion,民意
feather,羽毛
widow,寡妇
Legacy,遗留
Poetry Collection,诗集
external,外在
housewife,主妇
South China Sea,南海
Library,书库
Imprisonment,监禁
Unique,固有
motion,议案
approximate,近似
Trojans,木马
End,到头
paralysis,麻痹
right wing,右翼
evacuation,避难
Words,字句
Caress,爱抚
cause of death,死因
reign,在位
History books,史书
toxin,毒素
Homicide,他杀
Now,现在
time,时间
educate,教育
main,主要
technology,技术
know,认识
Others,人家
propose,提出
life,生命
Citation,引用
invest,投资
discuss,讨论
modern,现代
think,思考
special,特殊
move,感动
equipment,设备
person,人士
family,家人
Pitiful,可怜
angle,角度
public,公开
grow up,长大
destiny,命运
quality,素质
door,大门
Advantages,优势
crime,犯罪
set up,设置
girl,少女
military,军事
Himself,自身
mystery,神秘
Hard,辛苦
poet,诗人
vision,眼光
citizen,公民
world,人间
approve,批准
Transformation,改造
guide,引导
alley,胡同
idea,念头
gratitude,感激
obey,遵守
celebrity,名人
Include,包含
Birthplace,出身
genius,天才
procession,游行
quit,退出
sight,视线
Exposure,暴露
Tongue,舌头
the world,世人
Puzzled,困惑
apparel,服饰
extend,延伸
cautious,谨慎
Tianya,天涯
cell,细胞
coat,外套
personally,亲身
level,水准
track,轨道
Aesthetics,审美
mission,使命
year,年头
conspiracy,阴谋
leading,主导
idiot,白痴
radiation,辐射
manual,手工
season,时节
Back,后退
Taking,服用
series,丛书
Inspection,视察
Trial,审理
power failure,停电
saying,名言
harmful,有害
face,面部
sea ​​surface,海面
damage,损伤
infringement,侵害
beautiful woman,佳人
Municipal,市政
dissolution,解散
drink,饮用
face,正视
pneumonia,肺炎
Name,人名
deliberation,审议
nostril,鼻孔
forests,山林
bitter,辛酸
irradiation,照射
rebel,造反
contract,契约
Later generations,后世
density,密度
preference,嗜好
Oral,口述
liabilities,负债
Description,记述
Opening a store,开店
childhood,幼年
thorough,透彻
Move Forward,迈进
Dawn,天明
human life,人命
hypnosis,催眠
Monthly,月刊
Exam Preparation,备考
concentrate,浓缩
complete,完备
New Year,新春
Notes,手记
fishermen,渔民
painstaking efforts,苦心
motto,格言
wilderness,原野
treasures,珍品
arithmetic,算术
Surrender,自首
lethargy,昏睡
connector,接头
Soul,魂魄
preferential treatment,优待
Mountain Gate,山门
grease,油脂
mountains and fields,山野
tyrant,暴君
sponge,海绵
transcendence,超越
Snow Mountain,雪山
statement,陈述
refreshing,爽快
length,长短
Going into the water,下水
scenic spots,名胜
need,需要
Tell,告诉
teacher,老师
don't want,不要
market,市场
generally,一般
Prepare,准备
reply,回复
include,包括
Notice,注意
people,人民
design,设计
exist,存在
represent,代表
Knowledge,知识
free,自由
mean,意思
era,时代
level,水平
programme,节目
period,期间
formal,正式
publishing,出版
reason,理由
rural areas,农村
respectively,分别
stage,阶段
Highest,最高
attract,吸引
Buy,购买
mechanism,机构
the way,道路
civilization,文明
investment,投入
disappear,消失
once,一旦
at home,在家
tool,工具
guide,指导
population,人口
Nanjing,南京
food,食品
juvenile,少年
respect,尊重
adult,大人
near,接近
size,大小
Stone,石头
profound,深刻
operate,操作
Pity,遗憾
high,高度
calculate,计算
India,印度
Operation,手术
others,他人
street,街道
regret,后悔
force,部队
couple,夫妻
protrude,突出
Expand,展开
desire,愿望
joke,笑话
conflict,冲突
fund,基金
Injuried,受伤
have,具备
spouse,爱人
director,主管
doctor,大夫
street,街头
famous,有名
trend,趋势
supplies,用品
outside the door,门外
ceremony,仪式
bless,祝福
Total,共有
generation,一代
idea,主意
oil,石油
secretary,秘书
Important,大事
drinks,饮料
diet,饮食
west,西部
Hobby,爱好
luxury,豪华
friendly,友好
through,透过
high speed,高速
exchange,交换
transportation,运输
late night,深夜
myth,神话
miss,思念
contestants,选手
in the middle,途中
autonomy,自主
plateau,高原
deceased,死者
hint,暗示
noble,贵族
favorable,有利
bustling,繁华
name,名义
attitude,姿态
Careful,用心
magic,魔法
damage,损害
I'd love to,是非
dead,死人
extraction,抽出
crystal,水晶
Questions,出题
Welfare,福利
soft,柔软
contain,含有
slow,缓慢
southwest,西南
Output,输出
Subjects,科目
experience,见识
ingenuity,工夫
depth,深度
Late,后期
noble,高贵
Digestion,消化
Father and Son,父子
litigation,诉讼
Prince,太子
Wandering,徘徊
Fengyun,风云
mobilization,动员
Post,投稿
gaze,凝视
happy,快活
index,索引
grand,盛大
halfway,中途
Join,加盟
coastal,海岸
navy,海军
strong,浓厚
Race,种族
reactionary,反动
field,田野
organic,有机
priest,牧师
Literacy,识字
April,四月
Home appliances,家电
Run away,出走
Opening,开业
beneficial,有益
spread,蔓延
happy,欣喜
wealthy,富豪
official,公式
Explore,探究
elegant,高雅
Dissatisfied,不服
Head,人头
imperial court,朝廷
Chaoyang,朝阳
popular,通俗
messenger,使者
tool,道具
paragraph,段落
endure,忍耐
Churn,流失
plaintiff,原告
In and Out,进出
Bright,明媚
Working,在职
extracurricular,课外
Ming Dynasty,明朝
escape,逃走
reproduction,再生
Folklore,民俗
priest,神父
Perspective,视角
field,野外
drinking,饮酒
murder,谋杀
rational,有理
Documents,文书
Overnight,连夜
spring,春季
deepen,深化
superior,优越
display,陈列
Civil,民事
shame,耻辱
Life and death,死活
evolution,进化
promulgation,颁布
wood,木材
Young,年少
surgical,外科
screen,银幕
eyeball,眼球
draft,草案
warrior,勇士
outdoor,室外
giants,巨头
Not guilty,无罪
moisture,水分
Member,社员
pillar,支柱
Sima,司马
rough,粗暴
hero,好汉
the other side,彼岸
Lane,车道
selflessness,无私
Hollow,空洞
structure,构造
spring,泉水
Investment,出资
What,所为
Birth,出世
Avatar,化身
postscript,后记
sincere,真挚
flat,平坦
Holy Land,圣地
preparation,用意
vertical,垂直
buttocks,臀部
Lost,遗失
grim Reaper,死神
River Basin,流域
Introduction,概论
sad,忧愁
agitation,鼓动
Deep sleep,熟睡
Perception,感知
Water Conservancy,水利
Bloodline,血统
subordinate,部下
Taboo,禁忌
soybeans,大豆
sentimentality,感伤
terrain,地势
situation,事态
Perfunctory,敷衍
Chronic,慢性
jet lag,时差
Headquarters,本部
black tea,红茶
Kaifeng,开封
exaggerate,夸大
suicide note,遗书
Junior,师弟
Liquidation,清算
discharge,排出
honeymoon,蜜月
assassination,暗杀
set fire,放火
promising,有为
dying,临死
Self-deprecation,自嘲
pointer,指针
Frustrated,失意
creeping,蠕动
midnight,夜半
High,高额
melodious,悠扬
distort,歪曲
Meaning,寓意
sincerity,诚心
back,背部
indignation,愤慨
Austerity,紧缩
Horseshoe,马蹄
# 2000,# 2000
Material,材质
Ancient Trail,古道
applause,拍手
Mountains and Rivers,山河
boarding,寄宿
projection,投影
Conversion,换算
concise,简明
Resemblance,酷似
ambition,抱负
Full amount,全额
love,慈爱
dense,浓密
free,游离
long hair,长毛
Poetry,诗文
Degeneration,退化
Carpentry,木工
The night before,前夜
travel around,周游
nomadic,游牧
Outfit,行头
mourning,哀悼
Drinking tea,饮茶
service,服役
Disadvantages,劣势
Riverside,河畔
Patriarch,祖师
spirits,鬼神
disciple,门徒
waters,水域
housework,家事
nipple,乳头
water level,水位
Trade-offs,取舍
amber,琥珀
flat,平板
vegetables,野菜
stone pillars,石柱
attempted,未遂
Through,贯通
Commercial,商用
Civil Affairs,民政
Private,私家
Narcissus,水仙
Hypertrophy,肥大
hospitalization,入院
fool,愚弄
Manuscript,原稿
Tenjin,天神
Omission,遗漏
special envoy,特使
ally,盟友
detention,拘禁
other people,别人
teacher,教师
use,采用
merchandise,商品
Business,商业
clear,明确
Excited,激动
youth,青春
sad,伤心
whole body,全身
Spring Festival,春节
In the eyes,眼中
financial,财政
place,场所
rule,统治
position,立场
Going out,外出
original,原始
Lecture,讲座
parking,停车
Citywide,全市
unemployment,失业
volunteer,志愿
written,书面
subordinates,手下
Activate,开通
trend,潮流
see a doctor,看病
During his lifetime,生前
invitation,招待
sweat,汗水
poor,下手
relatives and friends,亲友
village head,村长
clear water,清水
rock,岩石
the day after tomorrow,后天
Chief,首长
teaching,教书
edible,食用
Constraints,制约
Daimyo,大名
poisoning,中毒
Fixes,修正
Chief,长官
Green Mountain,青山
social contact,社交
Hard work,心血
dispatch,出动
signature,署名
Head of State,元首
far-reaching,深远
Title,书名
precious,贵重
Break-in,闯入
historical data,史料
implicit,含蓄
cold water,冷水
abyss,深渊
instructor,教官
