en,ja
Bow,拝
cup,杯
back,背
lung,肺
Haiku,俳
match,配
Row,排
defeat,敗
Waste,廃
generation,輩
# jun,# jun
In season,旬
patrol,巡
shield,盾
allow,准
martyrdom,殉
pure,純
Follow,循
order,順
allow,準
Run,潤
Follow,遵
# dō,# dō
same,同
Hole,洞
torso,胴
move,動
Hall,堂
child,童
road,道
Work,働
copper,銅
guide,導
pupil,瞳
# gi,# gi
Technique,技
should,宜
Pseudo,偽
bully,欺
righteous,義
suspect,疑
instrument,儀
Play,戯
Simulation,擬
sacrifice,犠
Discussion,議
# juice,# soku
Right now,即
bundle,束
feet,足
promote,促
but,則
breath,息
catch,捉
Fast,速
side,側
Test,測
plug,塞
# either,# gan
Circle,丸
Yuan,元
Contains,含
shore,岸
rock,岩
Play,玩
Eye,眼
Stubborn,頑
face,顔
willing,願
# ha,# ha
blade,刃
feather,羽
Bundle,把
Wave,波
group,派
break,破
teeth,歯
leaf,葉
end,端
Dominance,覇
# no,# ei
forever,永
swimming,泳
Britain,英
reflect,映
Sakae,栄
Business,営
Chant,詠
shadow,影
Sharp,鋭
guard,衛
# pocket,# saku
Volume,冊
do,作
cut,削
yesterday,昨
fence,柵
Search,索
Measures,策
vinegar,酢
squeeze,搾
wrong,錯
# friend,# shoku
color,色
wipe,拭
Food,食
plant,植
colonization,殖
Decoration,飾
touch,触
Instructions,嘱
Weaving,織
Job,職
# volumes,# rō
old,老
Labor,労
alley,弄
Lang,郎
Lang,朗
wave,浪
gallery,廊
building,楼
leak,漏
cage,籠
# them,# yo
and,与
give,予
Four,四
world,世
generation,代
Remain,余
night,夜
reputation,誉
Pre,預
# ten,# ten
sky,天
Dictionary,典
shop,店
point,点
exhibition,展
add,添
Transfer,転
塡,塡
temple,殿
# kyo,# kyo
go,去
huge,巨
Residence,居
Reject,拒
Base,拠
Appointment,挙
Virtual,虚
May,許
distance,距
# gō,# gō
Number,号
combine,合
Copy,拷
Just,剛
powerful,強
Township,郷
Industry,業
proud,傲
Hao,豪
# satu,# satsu
Volume,冊
bills,札
brush,刷
brake,刹
拶,拶
kill,殺
Observation,察
pinch,撮
wipe,擦
"#,shitsu","#,shitsu"
Lost,�失
room,室
disease,疾
Execution,執
wet,湿
Jealousy,嫉
paint,漆
quality,質
# sho,# sho
Place,処
first time,初
Place,所
Book,書
Shu,庶
heat,暑
Department,署
Introduction,緒
various,諸
# And,# dan
dawn,旦
Group,団
male,男
part,段
Break,断
bullets,弾
warm,暖
talk,談
altar,壇
# master,# haku
white,白
Bo,伯
shoot,拍
nights,泊
force,迫
peel,剝
ship,舶
Bo,博
Thin,薄
# fuku,# fuku
Fu,伏
Clothes,服
vice,副
width,幅
complex,復
blessing,福
stomach,腹
Complex,複
cover,覆
# ri,# ri
Official,吏
profit,利
inside,里
reason,理
dysentery,痢
back,裏
shoe,履
Glass,璃
Leave,離
# katsu,# katsu
include,括
live,活
drink,喝
thirst,渇
split,割
Kudzu,葛
slip,滑
brown,褐
jurisdiction,轄
# zō,# zō
make,造
elephant,象
rough,雑
picture,像
Increase,増
Hate,憎
storehouse,蔵
Gift,贈
organs,臓
# of,# ya
eight,八
arrow,矢
smelting,冶
night,夜
Mi,弥
shop,屋
Home,家
field,野
# ban,# ban
Ten thousand,万
companion,伴
Judgement,判
plate,板
night,晩
No.,番
quite,蛮
plate,盤
# ga,# ga
tooth,牙
watt,瓦
I,我
painting,画
bud,芽
Congratulations,賀
elegant,雅
Hungry,餓
# this,# bu
No,不
point,分
Insult,侮
Wu,武
Pawn,歩
department,部
none,無
dance,舞
# fun,# fun
point,分
pink,粉
Fen,紛
Atmosphere,雰
spray,噴
grave,墳
anger,憤
Fervent,奮
# hyō,# hyō
ice,氷
soldiers,兵
surface,表
bale,俵
ticket,票
Comment,評
drift,漂
Standard,標
# yu,# yu
Depend on,由
Oil,油
Soup,湯
Yu,喩
Happy,愉
decree,諭
lose,輸
Healing,癒
# was,# zen
Complete,全
forward,前
good,善
Ran,然
Zen,禅
gradually,漸
Meal,膳
Repair,繕
# to,# ho
sail,帆
Pawn,歩
Save,保
feed,哺
catch,捕
repair,補
ear,穂
Store,舗
# may,# mei
name,名
life,命
bright,明
fan,迷
deep,冥
Alliance,盟
Inscription,銘
Ming,鳴
# of trees,# koku
gram,克
tell,告
valley,谷
carve,刻
country,国
black,黒
valley,穀
cool,酷
# yes,# bai
Sell,売
double,倍
plum,梅
Training,培
accompany,陪
media,媒
purchase,買
pay,賠
# to,# ku
Nine,九
mouth,口
work,工
district,区
sentence,句
bitter,苦
Drive,駆
# because,# jo
female,女
like,如
help,助
sequence,序
Narrative,叙
Xu,徐
remove,除
# ketsu,# ketsu
owe,欠
hole,穴
Blood,血
Decision,決
Knot,結
Jay,傑
Kiyoshi,潔
# hen,# hen
piece,片
Side,辺
return,返
strange,変
Bias,偏
all over,遍
Edited,編
# boku,# boku
tree,木
Park,朴
Mu,牧
Mutsumi,睦
I,僕
ink,墨
flutter,撲
# for,# mō
hair,毛
delusion,妄
blind,盲
Consumption,耗
see,望
fierce,猛
net,網
# in,# mu
six,六
spear,矛
Wu,武
Service,務
none,無
dream,夢
fog,霧
# yes,# da
beat,打
Tiao,妥
snake,蛇
saliva,唾
fall,堕
Laziness,惰
No good,駄
# be,# bo
mother,母
raise,募
grave,墓
Admiration,慕
twilight,暮
mold,模
book,簿
# and,# e
meeting,会
River,江
Heavy,重
Pattern,柄
Megumi,恵
picture,絵
feed,餌
# my,# taku
home,宅
Choice,択
Stream,沢
Table,卓
Extension,拓
Trust,託
wash,濯
# may,# mai
rice,米
every,毎
younger sister,妹
pieces,枚
ignorance,昧
buried,埋
dance,舞
# yeah,# ju
life,寿
by,受
Curse,呪
Grant,授
need,需
Confucianism,儒
Tree,樹
# too,# rin
Forest,林
centimeters,厘
Lun,倫
bell,鈴
wheel,輪
next,隣
Pro,臨
# ryū,# ryū
willow,柳
flow,流
Keep,留
dragon,竜
grain,粒
Takashi,隆
sulfur,硫
# my,# toku
hide,匿
special,特
have to,得
Supervisor,督
Virtue,徳
Reading,読
Atsushi,篤
# i-ru,# i-ru
enter,入
Residence,居
want,要
shoot,射
fry,煎
Casting,鋳
# we,# mi
three,三
not yet,未
Body,身
fruit,実
taste,味
Charm,魅
# are,# su
child,子
state,州
white,素
nest,巣
vinegar,酢
Must,須
# the,# o
Small,小
Dirty,汚
tail,尾
evil,悪
male,雄
Introduction,緒
# ka-keru,# ka-keru
owe,欠
shelf,架
hang,掛
Drive,駆
bet,賭
hanging,懸
# say,# kata
piece,片
direction,方
shape,形
shoulder,肩
Type,型
lagoon,潟
# your,# yaku
disaster,厄
Role,役
about,約
reason,訳
medicine,薬
jump,躍
# byō,# byō
flat,平
Seedling,苗
Second,秒
sick,病
Description,描
cat,猫
# gyō,# gyō
Look up,仰
OK,行
shape,形
Akatsuki,暁
Industry,業
Condensation,凝
# son,# son
live,存
village,村
grandchild,孫
Zun,尊
loss,損
Xun,遜
# with,# nen
Year,年
read,念
twist,捻
stick,粘
Ran,然
Burning,燃
# like that,# haka-ru
figure,図
count,計
Test,測
quantity,量
Consultation,諮
seek,謀
# chin,# chin
Shen,沈
Jane,珍
I,朕
List,陳
Rent,賃
town,鎮
# with a,# bi
tail,尾
eyebrow,眉
beautiful,美
Preparation,備
micro,微
nose,鼻
# attachment,# eki
Role,役
easy,易
Epidemic,疫
beneficial,益
liquid,液
station,駅
# of this,# yoku
Suppression,抑
fertile,沃
bath,浴
want,欲
Next day,翌
wing,翼
# ran,# ran
chaos,乱
egg,卵
List,覧
Abuse,濫
blue,藍
column,欄
"#,","#,"
hill,岡
Fu,阜
thorns,茨
Tochigi,栃
chant,唄
Saitama,埼
# suspect,# shuku
uncle,叔
wish,祝
inn,宿
Shu,淑
粛,粛
Shrink,縮
# did,# teki
of,的
whistle,笛
Pick,摘
drop,滴
suitable,適
enemy,敵
# eat,# ai
sorrow,哀
Mutually,相
suffer,挨
like,愛
Ambiguous,曖
blue,藍
# on,# on
blame,怨
sound,音
kindness,恩
temperature,温
O,御
Calm,穏
# and,# ma
real,真
numb,麻
between,間
Mount,摩
grind,磨
magic,魔
# still,# nō
Worry,悩
Na,納
able,能
brain,脳
Agriculture,農
concentrated,濃
# of,# nin
people,人
appoint,任
Pregnancy,妊
Tolerate,忍
recognize,認
# come on,# dai
big,大
generation,代
tower,台
No.,第
question,題
# do,# do
soil,土
guy,奴
Nu,努
degree,度
anger,怒
# shaku,# shaku
ruler,尺
borrow,借
discretionary,酌
Explanation,釈
Noble,爵
# her,# ta
too,太
he,他
field,田
many,多
Elimination,汰
# My,# mon
arts,文
Door,門
lines,紋
ask,問
smell,聞
# u,# u
right,右
Yu,宇
feather,羽
have,有
rain,雨
# batsu,# batsu
End,末
cut,伐
Extract,抜
Penalty,罰
valve,閥
# ta-tsu,# ta-tsu
stand,立
establish,建
Break,断
Judgment,裁
Absolute,絶
# will,# zai
exist,在
Material,材
Agent,剤
Wealth,財
crime,罪
# chiku,# chiku
bamboo,竹
livestock,畜
by,逐
Accumulation,蓄
Construction,築
# myō,# myō
name,名
Myo,妙
life,命
bright,明
deep,冥
# koto,# koto
Word,言
case,事
special,殊
different,異
Qin,琴
# standard,# baku
wheat,麦
desert,漠
screen,幕
Binding,縛
burst,爆
# ro,# ro
Lu,呂
furnace,炉
bribe,賂
road,路
dew,露
# see,# gaku
study,学
Take,岳
easy,楽
amount,額
jaw,顎
# to-ru,# to-ru
Pick,取
catch,捕
Pick,採
Execution,執
pinch,撮
# tetsu,# tetsu
Repeat,迭
Philosophy,哲
iron,鉄
Toru,徹
withdraw,撤
# this,# oku
shop,屋
Oku,奥
100 million,億
Memory,憶
timid,臆
# of these,# zoku
vulgar,俗
tribe,族
Genus,属
thief,賊
Continued,続
# don't,# hin
Product,品
beach,浜
poor,貧
Guest,賓
frequency,頻
# ren,# ren
love,恋
even,連
inexpensive,廉
practice,練
Ren,錬
# is,# ni
two,二
Ni,尼
2,弐
load,荷
# moto,# moto
Down,下
Yuan,元
Book,本
base,基
# me,# me
female,女
eye,目
bud,芽
female,雌
# we,# kami
superior,上
god,神
paper,紙
hair,髪
# protocol,# kawa
river,川
Skin,皮
river,河
leather,革
# man,# man
Ten thousand,万
Full,満
slow,慢
Man,漫
# when,# ke
change,化
hair,毛
air,気
Home,家
# part-meru,# osa-meru
Revenue,収
rule,治
build,修
Na,納
# osa-maru,# osa-maru
Revenue,収
rule,治
build,修
Na,納
# hitsu,# hitsu
animals,匹
must,必
secretion,泌
Pen,筆
# of year,# roku
six,六
deer,鹿
Record,録
foot of the mountain,麓
# correct,# tama
ball,玉
ball,球
bullets,弾
spirits,霊
# se,# se
world,世
Shi,施
back,背
Rapids,瀬
# shi-meru,# shi-meru
occupy,占
close,閉
twist,絞
Conclusion,締
# ka-eight,# ka-waru
